NY,DET,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,26,2-11,0-3,1-1,3,7,10,5,2,0,3,2,5,-27
M. RobinsonM. RobinsonC,20,3-7,0-0,1-3,6,1,7,1,0,0,3,1,7,-22
K. WalkerK. WalkerPG,20,1-5,0-2,0-0,0,2,2,2,0,0,3,0,2,-21
R. BarrettR. BarrettSG,25,5-12,1-4,4-4,0,7,7,1,0,1,1,1,15,-29
Q. GrimesQ. GrimesSG,13,0-5,0-5,0-0,0,1,1,0,1,0,1,2,0,-17
O. ToppinO. ToppinPF,22,3-5,0-1,3-4,0,4,4,1,1,0,0,1,9,+36
T. GibsonT. GibsonC,28,1-2,0-0,2-2,2,6,8,2,1,4,0,2,4,+31
M. McBrideM. McBridePG,25,0-4,0-1,0-0,0,4,4,3,2,0,1,2,0,+39
A. BurksA. BurksSG,27,12-17,5-8,5-5,0,4,4,2,3,0,3,2,34,+28
I. QuickleyI. QuickleySG,35,4-13,2-7,8-8,0,1,1,2,1,0,1,1,18,+27
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,43,9-19,6-13,8-8,0,9,9,3,0,1,3,2,32,-1
L. GarzaL. GarzaC,39,1-10,1-4,1-2,4,5,9,2,1,1,0,2,4,+14
F. JacksonF. JacksonPG,14,1-4,1-4,0-0,0,2,2,1,1,1,0,2,3,-3
H. DialloH. DialloSG,39,13-19,1-2,4-7,2,11,13,4,5,0,4,6,31,+5
D. Walton Jr.D. Walton Jr.G,37,3-10,2-6,0-0,0,0,0,9,2,2,5,4,8,+15
C. DialloC. DialloF,9,0-2,0-0,0-0,1,2,3,0,0,0,0,0,0,-23
J. RobinsonJ. RobinsonF,11,1-4,1-2,0-0,0,1,1,0,0,0,1,1,3,-24
D. SirvydisD. SirvydisSF,4,0-2,0-1,0-0,0,0,0,0,1,0,0,1,0,-6
T. PalmerT. PalmerG,17,0-1,0-0,0-0,0,2,2,0,0,0,1,2,0,-12
C. StanleyC. StanleyG,27,2-10,0-3,0-0,1,3,4,0,1,0,3,3,4,-10
