ATL,CHI,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. ReddishC. ReddishSF,31,5-14,1-3,3-4,0,1,1,2,2,1,4,2,14,-22
C. CapelaC. CapelaC,30,7-14,0-0,4-4,5,10,15,3,0,0,0,4,18,-15
T. YoungT. YoungPG,33,10-23,2-7,4-4,0,3,3,11,0,0,7,1,26,-19
S. MaysS. MaysSG,31,3-8,1-4,0-0,0,3,3,3,0,0,0,1,7,-18
C. Brown Jr.C. Brown Jr.G,32,5-12,3-6,3-4,1,2,3,3,0,0,0,1,16,-16
M. HillM. HillF,29,5-8,3-5,0-0,1,2,3,1,3,1,0,5,13,+4
C. OliverC. OliverF,18,6-6,0-0,1-2,2,2,4,1,0,1,0,1,13,+1
W. IwunduW. IwunduSF,16,2-3,1-1,3-4,0,2,2,0,1,0,0,1,8,-2
L. StephensonL. StephensonG,13,1-2,0-0,0-0,0,1,1,1,0,0,0,0,2,+8
C. BarberC. BarberG,7,0-2,0-0,0-4,1,1,2,1,0,0,0,1,0,+9
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,36,8-18,0-0,4-4,0,4,4,8,0,1,0,1,20,+18
J. GreenJ. GreenSF,23,4-5,0-0,6-8,1,1,2,3,2,1,0,3,14,+24
N. VucevicN. VucevicC,33,8-14,0-3,0-0,3,17,20,1,3,1,2,0,16,+14
C. WhiteC. WhitePG,35,6-14,3-9,2-4,0,3,3,12,0,1,3,3,17,+13
Z. LaVineZ. LaVineSG,32,10-13,5-7,0-0,0,2,2,5,0,0,4,1,25,+16
T. CookT. CookF,12,5-6,0-0,0-0,2,1,3,0,0,0,0,2,10,+2
D. Jones Jr.D. Jones Jr.SF,5,0-0,0-0,2-2,0,2,2,1,0,0,0,2,2,-5
T. Brown Jr.T. Brown Jr.SF,23,1-2,0-1,2-2,0,3,3,6,3,0,0,1,4,-8
D. DotsonD. DotsonPG,3,1-1,0-0,0-0,0,0,0,0,0,0,0,2,2,-2
M. McClungM. McClungPG,3,1-1,0-0,0-0,0,0,0,0,0,0,1,0,2,-2
M. ThomasM. ThomasSG,16,2-3,1-1,0-0,0,0,0,1,0,0,0,1,5,-1
A. DosunmuA. DosunmuSG,20,6-7,1-1,1-2,0,2,2,1,1,2,3,2,14,+1
