OKC,PHX,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
I. RobyI. RobyF,19,4-6,2-3,0-0,1,2,3,1,0,0,1,6,10,-2
L. DortL. DortSF,35,3-18,0-7,3-4,1,4,5,4,1,1,1,3,9,-14
P. WatsonP. WatsonSG,37,5-9,1-5,0-0,0,6,6,2,0,0,1,1,11,-15
T. JeromeT. JeromeSG,35,9-22,1-6,5-6,5,3,8,5,3,0,2,3,24,-3
A. WigginsA. WigginsSG,39,10-19,1-5,1-1,2,6,8,1,2,0,2,2,22,-7
J. HoardJ. HoardF,2,0-1,0-0,0-0,1,1,2,0,0,0,0,0,0,-4
K. WilliamsK. WilliamsSF,7,0-1,0-1,0-0,0,1,1,2,0,0,2,0,0,-4
D. FavorsD. FavorsC,12,0-2,0-0,0-0,2,0,2,1,0,0,0,3,0,-15
M. MuscalaM. MuscalaC,15,4-9,2-4,3-3,2,3,5,1,0,0,0,4,13,+3
O. SarrO. SarrC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
T. MaledonT. MaledonPG,18,1-4,0-2,2-2,0,4,4,1,0,0,0,1,4,-15
S. HopsonS. HopsonG,18,2-4,0-1,0-0,0,1,1,1,0,0,2,1,4,-6
R. EdwardsR. EdwardsG,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. JohnsonC. JohnsonSF,23,5-10,2-5,0-0,3,3,6,1,0,0,1,3,12,-6
M. BridgesM. BridgesSF,33,2-6,1-4,0-0,1,6,7,2,1,0,2,2,5,+10
J. McGeeJ. McGeeC,23,4-7,0-0,8-12,1,7,8,0,0,2,3,4,16,-2
C. PaulC. PaulPG,32,4-9,0-1,2-2,2,3,5,5,2,0,2,1,10,0
D. BookerD. BookerSG,36,12-24,6-12,8-10,1,6,7,5,0,2,1,1,38,+18
J. SmithJ. SmithPF,25,4-7,0-1,3-4,5,9,14,0,1,2,2,1,11,+20
E. TerryE. TerryF,1,0-3,0-0,0-0,3,1,4,0,0,0,0,0,0,0
C. HutchisonC. HutchisonSF,8,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,+7
C. PayneC. PaynePG,31,7-13,2-4,0-0,1,1,2,7,1,0,1,2,16,+30
L. ShametL. ShametSG,28,3-10,1-7,0-0,1,2,3,1,2,1,1,1,7,+13
