DAL,SAC,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,27,4-8,3-5,0-0,2,4,6,0,1,0,1,6,11,+1
D. PowellD. PowellC,28,1-4,0-1,0-2,1,5,6,1,1,0,2,2,2,-11
K. PorzingisK. PorzingisC,35,8-19,1-6,7-8,2,5,7,3,1,3,3,2,24,+2
J. BrunsonJ. BrunsonPG,36,11-19,2-2,1-1,0,2,2,6,1,0,2,3,25,-2
F. NtilikinaF. NtilikinaPG,38,4-8,1-2,0-0,0,3,3,3,2,0,2,0,9,+6
S. BrownS. BrownSF,18,3-5,2-3,0-0,0,2,2,0,0,0,0,1,8,+3
M. BrownM. BrownC,10,2-3,0-0,1-2,0,5,5,0,0,0,1,1,5,+9
J. GreenJ. GreenSG,28,2-6,0-1,0-0,2,1,3,3,1,2,0,3,4,-14
I. ThomasI. ThomasG,13,3-8,0-3,0-0,0,0,0,4,0,0,0,0,6,-1
T. PinsonT. PinsonG,7,0-1,0-1,0-0,0,2,2,3,0,0,0,1,0,+2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,28,4-8,1-2,2-2,1,6,7,1,2,0,0,3,11,+11
H. BarnesH. BarnesSF,34,4-10,2-4,4-4,1,5,6,1,0,0,1,0,14,+7
R. HolmesR. HolmesC,26,3-5,0-0,2-2,2,4,6,3,1,1,2,4,8,-9
D. FoxD. FoxPG,34,7-12,0-1,2-4,0,1,1,3,1,0,3,5,16,+12
T. HaliburtonT. HaliburtonPG,36,4-13,1-5,3-3,0,2,2,10,0,0,2,3,12,-5
C. MetuC. MetuPF,20,4-8,3-5,0-0,0,8,8,0,1,1,0,1,11,-10
D. JonesD. JonesC,22,3-5,0-1,0-0,3,3,6,2,0,0,3,4,6,+7
D. MitchellD. MitchellPG,19,6-9,2-4,0-0,0,1,1,0,0,0,1,0,14,-4
B. HieldB. HieldSG,23,1-5,1-4,0-0,0,1,1,1,0,0,2,1,3,-4
