MIL,ORL,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,31,13-22,1-4,6-6,2,10,12,5,2,2,4,4,33,+17
K. MiddletonK. MiddletonSF,33,6-15,3-7,7-7,0,3,3,6,1,0,1,4,22,+7
B. PortisB. PortisC,26,5-9,0-1,1-2,5,4,9,0,0,0,1,3,11,+14
J. HolidayJ. HolidayPG,33,8-11,3-4,6-6,1,4,5,7,3,2,2,0,25,+9
G. AllenG. AllenSG,23,1-5,1-4,1-2,0,0,0,0,1,0,0,0,4,-3
D. CousinsD. CousinsC,16,5-7,0-1,5-5,1,4,5,0,0,2,0,5,15,+6
G. HillG. HillPG,16,1-4,0-1,0-0,1,1,2,1,0,0,0,0,2,+11
W. MatthewsW. MatthewsSG,22,3-5,3-5,2-2,0,3,3,2,0,0,2,1,11,+19
P. ConnaughtonP. ConnaughtonSG,22,1-5,0-3,0-0,0,2,2,2,0,0,0,1,2,+6
D. DiVincenzoD. DiVincenzoSG,19,2-8,2-3,5-6,4,5,9,1,0,0,3,1,11,+4
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. GillespieF. GillespieSF,14,1-1,0-0,1-2,1,3,4,0,0,0,0,4,3,-1
F. WagnerF. WagnerSF,34,6-12,2-3,6-6,0,3,3,1,0,0,3,1,20,-5
W. Carter Jr.W. Carter Jr.C,33,5-11,1-4,3-5,2,8,10,5,1,1,1,4,14,-4
T. FrazierT. FrazierPG,30,5-8,3-4,0-0,0,1,1,5,0,0,1,4,13,-8
G. HarrisG. HarrisSG,33,7-15,3-6,0-0,0,1,1,3,3,0,1,3,17,+1
A. SchofieldA. SchofieldSF,18,4-7,0-3,0-0,1,5,6,2,0,0,1,2,8,-12
I. BrazdeikisI. BrazdeikisSF,21,4-6,1-3,0-0,1,1,2,2,0,0,1,2,9,-22
M. WagnerM. WagnerC,25,5-15,1-8,8-10,1,2,3,3,1,0,1,4,19,-16
R.J. HamptonR.J. HamptonPG,32,5-12,2-5,3-4,0,3,3,5,0,0,1,2,15,-23
