PHX,BOS,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. SmithJ. SmithPF,27,7-9,0-1,5-5,5,2,7,0,0,1,0,5,19,-12
C. JohnsonC. JohnsonSF,34,8-15,4-9,0-0,4,1,5,1,2,0,1,3,20,-10
M. BridgesM. BridgesSF,29,4-11,2-4,0-0,0,4,4,2,2,1,0,3,10,+9
C. PaulC. PaulPG,34,6-15,2-6,0-0,1,4,5,8,2,0,2,2,14,+4
D. BookerD. BookerSG,38,7-26,1-5,7-7,0,6,6,4,2,0,2,2,22,-16
I. WainrightI. WainrightF,13,2-4,1-3,0-0,1,0,1,0,0,0,1,2,5,+1
E. TerryE. TerryF,11,0-1,0-0,0-0,3,3,6,0,0,0,2,1,0,-15
E. PaytonE. PaytonPG,10,2-4,0-0,1-2,1,0,1,1,2,0,0,1,5,+3
C. PayneC. PaynePG,21,3-9,1-4,2-2,0,1,1,2,0,0,1,2,9,-27
L. ShametL. ShametSG,23,2-5,0-3,0-0,0,1,1,2,0,0,0,0,4,-12
M. WalkerM. WalkerSG,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,35,6-11,0-3,3-3,1,3,4,1,1,1,0,2,15,+15
A. HorfordA. HorfordC,25,1-5,0-1,2-2,3,4,7,7,0,0,2,3,4,-5
R. Williams IIIR. Williams IIIC,35,5-5,0-0,0-0,4,7,11,10,2,5,3,2,10,+14
M. SmartM. SmartPG,39,10-18,0-2,4-5,1,8,9,3,0,0,3,3,24,+13
J. BrownJ. BrownSG,36,8-20,3-9,5-6,1,10,11,3,0,0,6,4,24,+6
P. PritchardP. PritchardPG,13,4-4,3-3,0-0,0,2,2,1,0,0,1,1,11,+3
J. RichardsonJ. RichardsonSG,33,5-10,2-4,7-7,2,2,4,2,1,1,2,2,19,+20
R. LangfordR. LangfordSG,23,6-10,2-5,2-3,1,2,3,1,2,0,0,1,16,+9
