CHI,IND,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,35,8-24,1-3,11-12,2,1,3,6,3,0,3,3,28,+18
J. GreenJ. GreenSF,28,0-3,0-1,2-2,2,2,4,2,2,1,0,3,2,+3
N. VucevicN. VucevicC,34,6-16,2-7,0-0,2,14,16,4,0,0,0,2,14,-1
C. WhiteC. WhitePG,33,7-11,6-7,4-5,0,2,2,4,3,1,1,3,24,+1
Z. LaVineZ. LaVineSG,36,7-17,0-3,3-3,1,5,6,4,1,2,4,2,17,-8
T. CookT. CookF,14,1-3,0-0,3-4,1,4,5,0,2,0,0,3,5,+3
D. Jones Jr.D. Jones Jr.SF,14,3-3,1-1,0-0,0,2,2,0,0,0,0,2,7,-3
T. Brown Jr.T. Brown Jr.SF,4,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-3
M. ThomasM. ThomasSG,20,3-7,2-5,0-0,0,2,2,0,0,0,0,0,8,+8
A. DosunmuA. DosunmuSG,22,0-1,0-0,3-4,0,2,2,2,0,1,1,0,3,-8
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,40,8-14,1-2,7-8,5,9,14,6,1,2,3,3,24,+1
J. HolidayJ. HolidaySF,35,5-12,5-9,1-2,0,4,4,1,1,0,3,3,16,-6
M. TurnerM. TurnerC,18,2-5,1-3,5-6,2,4,6,1,0,1,0,5,10,-9
D. Washington Jr.D. Washington Jr.PG,30,3-14,0-6,2-2,1,3,4,2,2,1,2,0,8,0
C. LeVertC. LeVertSG,37,11-22,1-5,4-7,3,3,6,6,1,1,3,3,27,+1
T. CraigT. CraigSF,32,4-8,0-1,2-2,3,8,11,5,1,2,4,4,10,-1
O. BrissettO. BrissettSF,31,4-12,0-3,1-2,2,5,7,2,1,1,0,2,9,+4
G. BitadzeG. BitadzeC,5,0-0,0-0,0-0,1,1,2,0,0,0,0,1,0,+1
K. SykesK. SykesG,11,1-3,0-2,0-0,0,1,1,0,0,0,1,1,2,-3
N. HintonN. HintonG,2,0-1,0-0,0-0,0,0,0,0,0,0,1,0,0,+2
