ATL,CLE,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
W. IwunduW. IwunduSF,43,5-10,2-4,0-0,1,5,6,0,0,0,0,5,12,+11
C. ReddishC. ReddishSF,10,0-3,0-2,2-2,0,0,0,0,3,0,0,0,2,-10
C. CapelaC. CapelaC,40,9-17,0-0,0-0,11,12,23,2,1,4,0,3,18,+6
T. YoungT. YoungPG,42,11-28,5-12,8-10,1,3,4,11,1,0,1,5,35,+12
S. MaysS. MaysSG,23,7-11,4-5,1-1,1,2,3,0,2,0,0,0,19,+3
C. OliverC. OliverF,25,4-9,1-3,1-1,0,2,2,2,1,0,0,4,10,-3
L. WilliamsL. WilliamsSG,32,3-12,1-6,7-7,0,3,3,5,0,0,0,3,14,-7
L. StephensonL. StephensonG,5,1-1,0-0,0-0,0,1,1,2,0,0,1,1,2,-5
C. Brown Jr.C. Brown Jr.G,21,3-6,3-6,0-0,0,2,2,1,0,0,0,2,9,+8
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,31,4-10,0-2,0-0,0,5,5,2,0,1,2,2,8,-11
I. OkoroI. OkoroSF,31,4-4,1-1,1-3,0,2,2,5,0,0,1,6,10,+3
J. AllenJ. AllenC,37,9-11,0-0,3-7,4,4,8,0,1,3,1,0,21,-2
E. MobleyE. MobleyC,36,8-12,0-0,0-0,1,7,8,5,0,3,1,2,16,+1
K. PangosK. PangosG,24,4-9,0-4,0-0,0,1,1,4,0,0,1,2,8,-14
K. LoveK. LovePF,30,10-18,7-14,8-10,1,10,11,4,0,0,1,0,35,+2
D. WadeD. WadePF,9,0-1,0-1,0-0,0,4,4,1,0,0,0,1,0,+1
L. StevensL. StevensF,16,3-10,0-2,1-2,1,1,2,0,0,1,0,2,7,-6
D. WindlerD. WindlerSG,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
B. GoodwinB. GoodwinG,25,6-9,0-1,1-2,1,3,4,6,0,0,2,3,13,+11
