SA,MEM,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,20,2-7,2-5,0-0,1,5,6,1,0,0,2,1,6,+4
K. Bates-DiopK. Bates-DiopSF,23,4-8,0-1,0-0,2,9,11,1,2,2,1,0,8,+1
K. JohnsonK. JohnsonSF,28,2-12,1-6,1-2,0,6,6,2,0,0,3,3,6,-15
J. PoeltlJ. PoeltlC,24,7-12,0-0,1-4,4,3,7,1,0,2,0,0,15,+2
D. WhiteD. WhitePG,24,5-11,2-4,3-4,0,0,0,9,0,2,0,2,15,0
T. YoungT. YoungPF,12,1-1,0-0,0-0,1,3,4,1,0,0,1,3,2,-14
D. EubanksD. EubanksPF,8,1-1,0-0,3-6,0,2,2,0,0,0,0,1,5,+5
J. WieskampJ. WieskampSF,5,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,+2
J. LandaleJ. LandaleC,9,1-3,1-1,0-0,0,1,1,1,0,1,0,0,3,-4
T. JonesT. JonesPG,20,5-6,1-1,2-2,1,0,1,3,1,0,0,2,13,-16
B. ForbesB. ForbesSG,20,4-8,2-4,5-6,0,3,3,1,0,0,2,2,15,+5
L. Walker IVL. Walker IVSG,21,4-12,3-8,0-0,1,1,2,2,0,0,1,1,11,-18
D. VassellD. VassellSG,20,2-6,0-4,0-0,0,3,3,1,0,1,1,0,4,-22
J. PrimoJ. PrimoSG,8,1-2,0-0,0-0,1,0,1,0,0,0,0,0,2,+5
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,31,5-17,1-5,1-2,4,7,11,3,2,3,2,3,12,-1
K. AndersonK. AndersonSF,24,2-8,0-1,0-0,0,4,4,2,0,0,2,2,4,-4
S. AdamsS. AdamsC,26,5-10,0-0,2-5,8,5,13,3,0,2,1,3,12,+4
J. MorantJ. MorantPG,32,12-18,3-3,3-3,1,5,6,8,0,0,0,1,30,+15
D. BaneD. BaneSG,31,8-20,1-7,0-1,0,4,4,3,1,1,2,2,17,+6
B. ClarkeB. ClarkePF,23,8-11,1-1,0-1,1,8,9,2,0,2,1,2,17,+9
S. AldamaS. AldamaPF,13,1-2,1-2,0-0,1,1,2,0,0,1,1,1,3,+11
X. SneedX. SneedF,6,0-1,0-1,0-0,0,1,1,0,0,0,0,2,0,-4
K. TillieK. TillieSF,24,1-1,1-1,2-2,1,3,4,3,2,2,0,1,5,+17
T. JonesT. JonesPG,29,7-14,2-5,2-2,0,4,4,4,2,0,0,1,18,+12
T. TerryT. TerryPG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
Y. PonsY. PonsSG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. MathiasD. MathiasG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
