NY,OKC,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
O. ToppinO. ToppinPF,27,1-4,0-1,3-6,1,6,7,1,0,0,1,2,5,-2
M. RobinsonM. RobinsonC,25,4-5,0-0,1-2,2,10,12,0,0,1,1,1,9,-8
M. McBrideM. McBridePG,24,3-9,1-6,0-0,0,1,1,1,0,0,1,2,7,-7
E. FournierE. FournierSG,20,1-8,1-5,0-2,0,2,2,3,2,0,1,1,3,-4
R. BarrettR. BarrettSG,36,10-20,1-8,5-9,0,7,7,3,2,0,4,1,26,-7
K. Knox IIK. Knox IIF,15,3-8,1-4,0-0,1,1,2,0,0,0,0,0,7,-10
T. GibsonT. GibsonC,23,0-1,0-1,0-0,0,7,7,0,1,1,0,0,0,-7
A. BurksA. BurksSG,24,3-8,2-3,1-1,1,2,3,1,1,1,0,2,9,-12
I. QuickleyI. QuickleySG,26,4-12,1-7,2-2,0,3,3,1,0,0,2,1,11,-12
Q. GrimesQ. GrimesSG,19,1-6,1-6,0-0,0,4,4,2,0,0,0,2,3,-6
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
I. RobyI. RobyF,18,3-3,2-2,0-0,0,9,9,0,0,0,2,1,8,+7
L. DortL. DortSF,33,2-12,1-6,1-1,0,4,4,2,1,0,1,2,6,+8
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,35,9-24,2-7,3-4,0,4,4,4,2,1,4,3,23,+1
P. WatsonP. WatsonSG,14,1-3,0-1,0-0,1,2,3,0,0,0,0,1,2,-5
A. WigginsA. WigginsSG,26,5-8,2-4,1-2,0,4,4,1,1,1,0,1,13,+15
K. WilliamsK. WilliamsSF,28,3-5,2-2,0-0,3,4,7,4,0,0,1,1,8,+11
D. FavorsD. FavorsC,16,2-3,0-0,0-0,0,3,3,2,0,0,0,1,4,+8
M. MuscalaM. MuscalaC,14,3-10,3-9,0-0,0,0,0,1,1,1,0,1,9,0
A. PokusevskiA. PokusevskiC,17,2-5,2-3,0-0,1,7,8,0,0,0,0,2,6,+11
T. MaledonT. MaledonPG,12,2-4,1-2,0-0,1,1,2,2,0,0,1,1,5,+5
T. JeromeT. JeromeSG,27,4-10,3-7,0-0,1,4,5,5,1,0,0,3,11,+14
