MIN,UTAH,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,22,2-5,0-0,1-2,2,5,7,1,1,2,1,3,5,-11
A. EdwardsA. EdwardsSF,32,9-21,4-10,4-5,0,3,3,2,0,0,2,6,26,-1
N. ReidN. ReidC,15,3-7,0-0,1-1,3,4,7,1,1,0,0,3,7,-1
P. BeverleyP. BeverleyPG,29,4-10,2-6,1-2,0,2,2,6,2,2,0,3,11,-13
M. BeasleyM. BeasleySG,31,8-16,6-14,0-0,0,3,3,2,1,0,1,2,22,-12
J. McDanielsJ. McDanielsPF,33,5-11,1-4,1-1,1,5,6,0,0,0,1,3,12,-13
N. KnightN. KnightF,19,1-4,0-2,3-4,3,1,4,2,0,1,1,2,5,+6
J. LaymanJ. LaymanSF,9,1-2,0-1,1-1,0,1,1,0,0,0,1,0,3,+4
G. MonroeG. MonroeC,16,1-2,0-0,0-2,2,4,6,1,0,0,1,1,2,-16
J. McLaughlinJ. McLaughlinPG,11,1-2,0-0,0-0,0,0,0,1,3,0,1,1,2,0
J. NowellJ. NowellSG,18,4-12,0-3,2-4,0,2,2,5,1,0,1,6,10,-12
L. BolmaroL. BolmaroSG,5,1-1,1-1,0-0,0,0,0,2,0,0,0,0,3,+9
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,32,0-0,0-0,0-0,0,3,3,3,1,0,1,5,0,+1
B. BogdanovicB. BogdanovicSF,34,6-14,3-6,9-9,3,9,12,2,0,0,5,1,24,+18
R. GobertR. GobertC,36,3-7,0-0,8-10,2,14,16,0,0,4,2,2,14,+23
D. MitchellD. MitchellSG,38,12-21,6-11,9-10,1,5,6,5,1,0,3,2,39,+23
T. ForrestT. ForrestSG,21,1-3,0-1,2-2,0,3,3,3,0,0,2,0,4,-15
M. FittsM. FittsF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-9
R. GayR. GaySF,26,4-8,1-3,3-3,1,2,3,3,1,1,1,1,12,+26
E. HughesE. HughesSF,2,1-2,0-1,0-0,0,0,0,0,0,0,1,0,2,-9
H. WhitesideH. WhitesideC,7,1-1,0-0,0-0,1,1,2,1,0,0,0,2,2,+1
J. ClarksonJ. ClarksonPG,31,8-18,0-4,4-7,1,2,3,1,0,0,2,4,20,+17
M. OniM. OniSG,2,0-2,0-2,0-0,1,0,1,0,0,0,0,2,0,-9
J. ButlerJ. ButlerSG,8,1-2,1-1,0-0,0,0,0,0,1,0,0,0,3,-7
