NO,MIL,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,25,5-12,4-9,0-0,0,3,3,4,1,0,0,0,14,-19
H. JonesH. JonesSF,35,6-13,2-6,0-0,2,4,6,3,3,3,3,2,14,-18
HernangómezHernangómez C,20,4-9,0-0,3-5,4,4,8,1,0,0,2,1,11,-13
D. GrahamD. GrahamPG,30,4-13,4-11,2-2,0,3,3,3,1,0,1,1,14,-13
J. HartJ. HartSG,36,5-13,1-6,3-9,3,8,11,9,1,1,3,4,14,-20
G. ClarkG. ClarkF,17,1-2,1-2,0-0,2,1,3,1,1,0,0,0,3,-11
N. MarshallN. MarshallSF,3,0-2,0-2,0-0,0,1,1,0,0,0,0,0,0,-4
J. HayesJ. HayesC,28,9-12,0-0,5-5,3,4,7,1,0,1,1,3,23,-5
J. AlvaradoJ. AlvaradoPG,3,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0,-4
T. SatoranskyT. SatoranskySG,14,1-2,0-1,3-4,0,3,3,6,3,0,0,2,5,0
N. Alexander-WalkerN. Alexander-WalkerSG,27,4-16,4-13,1-3,0,5,5,0,0,0,3,3,13,-4
T. Murphy IIIT. Murphy IIISG,3,0-0,0-0,2-2,0,0,0,0,0,0,1,0,2,-4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,32,12-18,2-4,9-12,1,15,16,10,2,0,4,4,35,+25
B. PortisB. PortisC,21,5-11,4-6,0-0,1,5,6,1,0,0,1,4,14,+16
J. HolidayJ. HolidayPG,33,8-14,1-3,4-4,1,3,4,6,2,2,4,0,21,+18
P. ConnaughtonP. ConnaughtonSG,29,3-6,3-6,0-0,0,6,6,3,1,1,1,1,9,+18
G. AllenG. AllenSG,31,6-14,4-12,0-0,0,4,4,2,0,1,0,1,16,+5
S. MamukelashviliS. MamukelashviliPF,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+4
J. NworaJ. NworaSF,19,9-11,5-7,0-0,0,4,4,0,0,0,0,3,23,+7
D. CousinsD. CousinsC,18,2-6,1-3,0-0,1,5,6,0,1,0,1,3,5,-10
J. DeLaurierJ. DeLaurierC,3,0-0,0-0,0-0,0,1,1,0,1,0,0,1,0,+4
G. HillG. HillPG,20,2-4,2-2,2-2,0,1,1,2,1,0,0,0,8,+18
W. MatthewsW. MatthewsSG,16,1-4,0-3,0-0,0,0,0,0,0,0,2,1,2,+1
R. HoodR. HoodSG,12,0-2,0-1,0-0,0,0,0,0,1,0,0,1,0,+5
J. SmartJ. SmartG,3,0-1,0-0,0-0,0,0,0,3,1,0,0,1,0,+4
