SA,DET,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. JohnsonK. JohnsonSF,38,4-18,2-6,2-4,3,4,7,1,1,0,3,4,12,0
J. PoeltlJ. PoeltlC,36,6-11,0-0,3-6,5,7,12,5,1,1,6,5,15,+5
D. WhiteD. WhitePG,42,5-13,0-4,8-10,1,2,3,14,1,1,4,5,18,0
T. JonesT. JonesPG,32,6-10,0-1,3-3,3,4,7,3,0,0,1,2,15,-6
D. VassellD. VassellSG,41,7-16,5-12,0-0,0,4,4,4,3,0,1,3,19,-4
D. EubanksD. EubanksPF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,3,0,-4
J. WieskampJ. WieskampSF,4,0-1,0-1,0-0,0,0,0,0,1,0,0,0,0,+8
J. LandaleJ. LandaleC,17,3-4,0-1,2-2,1,3,4,0,0,1,0,2,8,-5
B. ForbesB. ForbesSG,35,10-22,5-10,2-3,0,7,7,2,0,0,0,1,27,+9
J. PrimoJ. PrimoSG,15,1-7,0-5,0-0,0,4,4,1,1,0,1,2,2,-8
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,47,7-23,2-12,5-6,4,13,17,3,2,0,5,4,21,+11
L. GarzaL. GarzaC,40,7-12,1-2,5-8,9,5,14,0,1,0,3,4,20,+15
H. DialloH. DialloSG,50,13-32,0-4,8-9,5,9,14,4,5,2,3,2,34,+4
D. Walton Jr.D. Walton Jr.G,40,3-11,1-5,4-4,2,4,6,6,4,0,4,1,11,+7
C. StanleyC. StanleyG,36,6-8,3-4,4-4,1,2,3,1,0,1,1,4,19,+11
J. PickettJ. PickettPF,5,0-0,0-0,0-0,0,2,2,0,0,1,2,0,0,-6
J. RobinsonJ. RobinsonF,23,3-7,2-4,0-2,0,1,1,3,0,1,0,4,8,-7
M. PotterM. PotterF,13,2-5,0-2,0-0,1,1,2,0,0,1,1,2,4,-13
D. SirvydisD. SirvydisSF,5,0-0,0-0,0-0,0,3,3,0,0,0,0,0,0,-7
J. PaigeJ. PaigeG,7,0-3,0-2,0-0,0,1,1,1,0,0,1,2,0,-10
