CHI,WSH,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,35,10-22,1-1,7-10,2,7,9,5,0,0,4,3,28,+12
D. Jones Jr.D. Jones Jr.SF,28,2-2,2-2,3-4,1,3,4,1,1,2,2,3,9,-1
N. VucevicN. VucevicC,35,9-15,3-7,1-1,1,11,12,1,0,1,5,3,22,+13
C. WhiteC. WhitePG,38,7-14,4-8,2-2,0,2,2,5,1,0,0,4,20,0
Z. LaVineZ. LaVineSG,38,11-22,7-12,6-6,0,5,5,3,0,0,4,2,35,+5
T. CookT. CookF,3,0-0,0-0,0-0,1,0,1,0,1,0,0,1,0,-2
T. Brown Jr.T. Brown Jr.SF,30,1-2,0-0,0-0,0,6,6,1,0,0,0,2,2,-4
M. ThomasM. ThomasSG,12,0-4,0-4,0-0,0,0,0,0,0,0,0,1,0,-1
A. DosunmuA. DosunmuSG,21,1-3,0-0,2-2,1,4,5,1,1,1,0,5,4,-17
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,40,12-18,2-5,3-5,0,12,12,3,2,0,3,3,29,+4
C. KispertC. KispertSF,29,4-8,0-2,2-2,1,3,4,0,0,0,1,1,10,0
D. GaffordD. GaffordC,20,9-10,0-0,1-2,4,4,8,0,0,2,0,3,19,-12
B. BealB. BealSG,43,8-20,0-4,11-13,0,2,2,17,4,0,2,2,27,+3
K. Caldwell-PopeK. Caldwell-PopeSG,39,5-14,3-10,0-0,1,7,8,2,0,1,4,0,13,-5
A. GillA. GillPF,25,3-6,1-2,2-2,0,3,3,3,1,0,1,5,9,+3
A. JohnsonA. JohnsonF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
D. AvdijaD. AvdijaSF,34,4-9,0-4,2-2,0,6,6,1,1,0,0,6,10,+1
T. WatersT. WatersG,8,1-2,0-0,0-0,0,0,0,0,1,0,0,2,2,+4
