IND,CLE,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,39,10-15,3-3,9-10,1,12,13,7,0,1,3,2,32,+9
J. HolidayJ. HolidaySF,37,6-10,6-9,0-0,0,3,3,3,1,1,1,6,18,+5
M. TurnerM. TurnerC,37,4-11,2-5,2-4,5,5,10,3,2,3,3,5,12,+1
D. Washington Jr.D. Washington Jr.PG,34,8-17,4-9,0-0,0,2,2,1,1,0,1,4,20,-5
K. SykesK. SykesG,35,4-10,2-7,0-0,0,3,3,5,1,1,3,4,10,+7
J. AndersonJ. AndersonF,8,0-2,0-2,0-0,1,2,3,0,0,0,1,1,0,-6
T. CraigT. CraigSF,21,0-5,0-3,0-0,0,0,0,1,1,0,0,0,0,-10
O. BrissettO. BrissettSF,16,2-6,2-4,0-0,2,2,4,1,0,0,2,0,6,-13
L. StephensonL. StephensonG,13,3-7,0-4,0-0,0,1,1,3,0,0,0,2,6,-8
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,34,5-12,2-6,0-0,2,4,6,2,0,1,0,2,12,-3
I. OkoroI. OkoroSF,12,1-1,0-0,0-0,0,1,1,1,1,1,0,0,2,0
J. AllenJ. AllenC,32,6-12,0-1,6-8,4,7,11,2,1,2,2,2,18,+3
E. MobleyE. MobleyC,35,11-16,0-2,2-4,1,8,9,4,0,0,3,3,24,-8
K. PangosK. PangosG,27,2-6,1-3,2-2,0,3,3,4,0,0,1,0,7,+4
K. LoveK. LovePF,29,6-13,3-6,5-5,2,6,8,4,1,0,1,2,20,+13
D. WadeD. WadePF,14,1-3,0-1,1-1,2,2,4,2,1,0,0,0,3,+7
L. StevensL. StevensF,31,6-13,0-4,3-4,1,2,3,2,1,0,0,1,15,+1
B. GoodwinB. GoodwinG,26,3-12,0-3,1-4,0,3,3,5,1,0,1,1,7,+3
