MIA,SAC,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. ButlerJ. ButlerSF,36,9-22,1-6,2-2,3,3,6,5,0,0,2,0,21,-12
C. MartinC. MartinSF,33,6-13,1-5,2-2,2,4,6,2,2,1,0,4,15,-2
O. YurtsevenO. YurtsevenC,35,11-18,0-0,0-0,6,10,16,0,1,0,1,3,22,+11
K. LowryK. LowryPG,36,5-11,2-6,2-2,0,5,5,12,1,0,1,2,14,+12
T. HerroT. HerroPG,35,8-23,4-11,2-2,2,3,5,2,0,1,2,4,22,-14
C. SilvaC. SilvaPF,13,2-4,0-0,3-3,3,2,5,1,0,0,3,2,7,-11
H. HighsmithH. HighsmithF,15,0-1,0-1,0-0,1,2,3,0,0,0,0,0,0,-2
K. GuyK. GuySG,24,3-8,0-2,1-1,0,2,2,4,0,1,0,3,7,-4
N. StauskasN. StauskasG,13,2-5,1-2,0-0,1,0,1,0,0,0,0,0,5,+12
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,20,2-9,1-3,1-1,3,2,5,1,0,0,1,2,6,-3
H. BarnesH. BarnesSF,30,4-7,2-4,0-0,0,2,2,0,1,2,4,3,10,-2
D. JonesD. JonesC,29,7-10,0-2,4-7,2,8,10,3,0,0,2,1,18,-8
D. FoxD. FoxPG,35,5-12,0-4,14-15,0,6,6,6,2,0,2,3,24,+4
T. HaliburtonT. HaliburtonPG,35,3-6,1-1,2-3,1,2,3,12,0,0,2,1,9,-1
C. MetuC. MetuPF,15,3-6,0-3,0-0,1,3,4,3,0,0,0,1,6,-1
M. HarklessM. HarklessSF,5,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-2
T. ThompsonT. ThompsonC,2,0-1,0-0,0-0,0,0,0,0,0,0,1,1,0,-2
A. LenA. LenC,17,2-2,0-0,0-0,0,3,3,2,0,0,2,3,4,+12
D. MitchellD. MitchellPG,19,5-7,2-3,0-0,0,0,0,1,0,0,0,0,12,+6
B. HieldB. HieldSG,33,9-18,7-14,1-1,0,6,6,3,0,0,1,2,26,+7
