ORL,CHI,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,28,8-13,1-2,5-5,1,4,5,3,1,0,1,3,22,+8
W. Carter Jr.W. Carter Jr.C,35,8-15,1-4,4-5,0,10,10,4,1,0,3,0,21,+7
M. BambaM. BambaC,23,1-5,1-2,0-0,0,7,7,0,0,0,0,2,3,-4
T. FrazierT. FrazierPG,18,0-2,0-0,0-0,0,3,3,5,0,0,2,2,0,+10
G. HarrisG. HarrisSG,33,7-16,5-10,0-0,1,0,1,1,2,1,2,2,19,+6
A. SchofieldA. SchofieldSF,18,2-4,0-2,0-0,0,4,4,2,0,0,1,1,4,-13
F. GillespieF. GillespieSF,11,0-2,0-0,0-0,1,1,2,1,1,1,0,0,0,-3
H. GravettH. GravettPG,13,2-2,1-1,0-0,0,0,0,1,0,0,1,0,5,-7
R.J. HamptonR.J. HamptonPG,32,3-9,0-2,3-4,2,6,8,3,0,0,2,5,9,-17
T. RossT. RossSG,29,5-17,1-4,4-4,0,4,4,4,0,0,1,2,15,-7
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,36,11-24,0-2,7-13,1,2,3,2,1,0,3,3,29,+14
D. Jones Jr.D. Jones Jr.SF,21,3-4,1-1,0-0,3,2,5,0,1,0,0,2,7,-3
N. VucevicN. VucevicC,36,5-13,1-3,2-2,2,15,17,1,2,2,2,4,13,-1
L. BallL. BallPG,32,1-8,1-7,0-0,1,6,7,7,3,0,2,2,3,+3
Z. LaVineZ. LaVineSG,34,8-19,4-9,7-7,0,3,3,0,1,0,3,2,27,-10
A. McKinnieA. McKinnieF,7,0-1,0-1,0-0,1,1,2,0,0,0,0,0,0,-2
T. Brown Jr.T. Brown Jr.SF,20,1-4,1-2,0-0,2,6,8,4,2,1,0,0,3,+8
C. WhiteC. WhitePG,35,7-11,2-5,1-1,0,2,2,2,0,1,1,1,17,+3
A. DosunmuA. DosunmuSG,19,1-2,1-1,0-0,0,2,2,1,0,0,2,2,3,+8
