DET,MIL,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. LylesT. LylesPF,34,5-12,1-4,0-0,0,7,7,3,1,0,0,4,11,+4
S. BeyS. BeySF,39,12-22,8-13,2-2,0,8,8,4,1,0,1,0,34,+4
C. CunninghamC. CunninghamPG,37,8-15,3-7,0-0,1,3,4,7,0,1,5,4,19,+13
K. HayesK. HayesPG,24,2-5,0-3,1-2,0,2,2,4,1,0,2,2,5,+3
H. DialloH. DialloSG,32,5-12,0-2,1-3,2,7,9,5,1,0,1,3,11,+5
J. RobinsonJ. RobinsonF,23,1-6,1-6,2-4,1,1,2,1,1,0,0,1,5,+3
M. PotterM. PotterF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+1
L. GarzaL. GarzaC,15,2-5,0-1,0-0,3,1,4,1,0,0,3,4,4,+3
S. LeeS. LeePG,14,0-1,0-0,2-2,0,5,5,4,0,0,1,0,2,+1
J. JacksonJ. JacksonSG,20,9-13,5-7,1-1,2,3,5,2,1,0,0,3,24,+8
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,36,11-21,0-4,9-13,1,9,10,7,1,0,3,2,31,-12
K. MiddletonK. MiddletonSF,28,3-10,1-6,3-3,1,5,6,2,0,0,2,2,10,-19
B. PortisB. PortisC,30,5-12,2-6,0-0,3,11,14,0,0,0,0,3,12,-9
J. HolidayJ. HolidayPG,35,11-19,4-8,3-4,2,3,5,5,2,0,2,1,29,-4
G. AllenG. AllenSG,27,2-11,1-8,0-0,2,2,4,3,2,0,1,0,5,-18
D. CousinsD. CousinsC,14,3-5,2-4,1-1,0,2,2,0,1,0,0,1,9,-4
G. HillG. HillPG,25,1-6,0-5,1-1,1,2,3,2,3,1,0,1,3,+11
W. MatthewsW. MatthewsSG,19,2-3,0-1,0-0,0,0,0,0,0,1,0,1,4,+11
P. ConnaughtonP. ConnaughtonSG,22,1-5,1-4,0-0,1,2,3,1,0,0,0,1,3,+5
R. HoodR. HoodSG,4,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-6
