MIN,LAC,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,28,4-7,0-1,0-0,3,6,9,0,1,0,0,0,8,+27
A. EdwardsA. EdwardsSF,33,11-17,5-10,1-1,0,2,2,4,1,1,4,1,28,+23
N. ReidN. ReidC,25,6-9,1-3,0-0,3,3,6,1,1,1,2,1,13,+8
P. BeverleyP. BeverleyPG,21,3-10,0-4,5-5,0,3,3,12,2,0,1,1,11,+19
M. BeasleyM. BeasleySG,20,4-10,3-8,0-0,0,1,1,2,0,0,0,1,11,+10
T. PrinceT. PrincePF,23,7-10,2-4,1-1,0,4,4,3,2,1,2,3,17,+10
J. McDanielsJ. McDanielsPF,29,7-10,4-5,0-0,1,2,3,3,0,0,1,2,18,+18
N. KnightN. KnightF,13,1-2,0-0,0-0,2,1,3,2,0,0,1,2,2,-8
J. OkogieJ. OkogieSF,11,1-3,1-3,1-2,1,1,2,0,1,1,3,1,4,-3
J. McLaughlinJ. McLaughlinPG,4,1-1,0-0,0-0,0,0,0,2,0,0,0,0,2,-8
J. NowellJ. NowellSG,28,4-13,0-6,0-0,1,5,6,5,1,0,3,1,8,+2
L. BolmaroL. BolmaroSG,4,0-1,0-1,0-0,0,1,1,0,0,0,0,1,0,-8
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,24,4-9,1-4,3-3,0,2,2,2,0,0,1,0,12,-11
S. IbakaS. IbakaC,20,7-7,2-2,1-1,1,3,4,1,0,1,2,0,17,-13
R. JacksonR. JacksonPG,21,2-9,1-5,0-0,0,2,2,1,1,0,3,1,5,-18
E. BledsoeE. BledsoeSG,22,0-3,0-3,1-2,0,3,3,5,1,0,6,2,1,-20
T. MannT. MannSG,25,3-4,1-2,0-0,0,1,1,3,1,0,2,1,7,-24
J. WinslowJ. WinslowPF,22,7-10,0-1,1-1,1,3,4,2,3,0,3,1,15,-13
J. Ennis IIIJ. Ennis IIIF,12,4-4,2-2,0-0,0,1,1,0,0,1,1,2,10,+2
W. GabrielW. GabrielF,16,1-5,0-1,0-0,1,2,3,1,0,0,0,0,2,+6
X. MoonX. MoonPG,26,6-13,1-4,0-0,1,3,4,4,4,1,0,1,13,-1
A. CoffeyA. CoffeySG,29,2-6,1-4,4-4,0,5,5,2,0,0,1,2,9,-3
K. JohnsonK. JohnsonSG,17,2-6,1-2,4-4,0,2,2,0,1,0,1,0,9,+5
J. ScrubbJ. ScrubbSG,7,1-2,1-2,1-2,0,0,0,1,1,0,0,0,4,0
