MEM,CLE,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,30,7-14,3-8,5-5,1,2,3,1,1,0,2,5,22,-7
K. TillieK. TillieSF,17,2-7,1-5,0-0,0,3,3,1,0,0,1,0,5,-12
S. AdamsS. AdamsC,33,3-5,0-0,1-2,5,6,11,3,0,1,1,1,7,+2
J. MorantJ. MorantPG,34,9-21,0-1,8-9,0,5,5,6,2,2,2,1,26,+5
D. BaneD. BaneSG,35,4-10,3-6,0-0,1,4,5,7,1,2,1,3,11,+5
B. ClarkeB. ClarkePF,25,6-10,0-1,1-2,2,7,9,0,1,3,0,2,13,+12
S. AldamaS. AldamaPF,13,1-3,0-1,0-0,1,2,3,0,0,0,0,1,2,+13
T. JonesT. JonesPG,25,6-10,0-1,0-0,0,1,1,2,1,0,1,1,12,-1
Z. WilliamsZ. WilliamsSG,14,4-7,2-3,0-0,0,0,0,0,0,0,0,1,10,+2
J. CulverJ. CulverG,16,0-3,0-1,2-4,2,3,5,1,0,0,1,3,2,+1
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,36,5-11,1-5,2-2,1,6,7,5,0,1,1,3,13,+10
L. StevensL. StevensF,25,0-2,0-1,1-2,1,1,2,3,0,0,2,2,1,-2
J. AllenJ. AllenC,34,11-14,0-0,0-0,3,9,12,2,1,3,0,2,22,-3
E. MobleyE. MobleyC,38,6-12,0-1,5-6,0,8,8,1,0,2,1,2,17,-7
D. GarlandD. GarlandPG,36,9-26,3-10,6-6,3,1,4,10,0,0,1,1,27,-3
K. LoveK. LovePF,29,6-18,4-11,2-3,3,6,9,2,0,0,2,0,18,-10
D. WadeD. WadePF,5,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0,-1
D. WindlerD. WindlerSG,19,2-4,2-3,0-0,2,0,2,2,0,0,1,1,6,-3
B. GoodwinB. GoodwinG,18,1-5,0-3,0-2,1,3,4,3,1,0,2,3,2,-1
