DET,CHA,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. LylesT. LylesPF,24,7-13,1-2,2-4,2,5,7,1,0,0,1,1,17,-5
S. BeyS. BeySF,27,4-13,3-9,0-0,0,3,3,1,1,0,1,1,11,-24
C. CunninghamC. CunninghamPG,26,6-12,4-9,0-0,0,2,2,7,2,0,4,4,16,-18
K. HayesK. HayesPG,24,3-5,1-2,1-2,0,1,1,4,3,0,0,3,8,-5
H. DialloH. DialloSG,24,4-7,0-0,1-2,1,2,3,1,1,0,0,3,9,-25
J. RobinsonJ. RobinsonF,25,3-9,3-8,0-0,1,2,3,2,0,0,4,2,9,-23
M. PotterM. PotterF,16,3-6,0-0,2-2,3,3,6,0,1,0,0,2,8,-28
L. GarzaL. GarzaC,8,1-2,0-1,1-2,1,1,2,0,0,0,0,1,3,+4
S. LeeS. LeePG,19,3-5,0-0,1-3,1,1,2,5,1,2,1,1,7,-7
J. JacksonJ. JacksonSG,25,6-12,0-5,3-5,0,5,5,2,1,1,1,2,15,-9
R. McGruderR. McGruderG,21,3-8,2-6,0-0,0,2,2,3,2,0,1,1,8,-5
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,26,7-11,1-3,4-4,0,6,6,4,1,0,1,3,19,+12
M. BridgesM. BridgesSF,26,6-8,3-3,4-7,0,2,2,3,0,1,1,2,19,+22
M. PlumleeM. PlumleeC,19,2-2,0-0,1-2,2,5,7,1,0,0,1,2,5,+9
L. BallL. BallPG,30,4-11,3-9,1-2,0,8,8,12,1,1,4,2,12,+22
T. RozierT. RozierSG,29,6-11,4-7,0-0,1,2,3,6,0,0,0,1,16,+14
J. McDanielsJ. McDanielsPF,22,4-5,1-1,0-0,2,3,5,2,1,0,2,2,9,+15
P.J. WashingtonP.J. WashingtonPF,24,4-6,2-4,4-8,2,6,8,4,1,0,5,2,14,+26
K. JonesK. JonesPF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-6
J. ThorJ. ThorPF,4,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-6
C. MartinC. MartinSF,18,2-4,1-1,0-0,0,0,0,3,1,0,1,2,5,+23
N. RichardsN. RichardsC,4,2-3,0-0,3-3,0,2,2,0,1,0,1,0,7,-6
I. SmithI. SmithPG,6,0-0,0-0,0-0,0,1,1,3,0,0,0,1,0,-3
K. Oubre Jr.K. Oubre Jr.SG,24,10-16,9-14,3-3,0,6,6,0,0,1,0,2,32,+29
J. BouknightJ. BouknightSG,4,1-4,0-0,0-0,1,0,1,1,0,0,0,0,2,-6
