HOU,WSH,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,32,4-11,0-2,5-6,3,7,10,0,0,0,4,5,13,+9
C. WoodC. WoodC,34,8-12,0-2,6-6,3,8,11,1,3,0,2,2,22,+7
E. GordonE. GordonSG,32,7-11,3-5,2-3,0,0,0,3,1,0,2,1,19,+16
K. Porter Jr.K. Porter Jr.SG,35,3-13,2-4,1-4,0,7,7,8,4,0,4,2,9,+3
J. GreenJ. GreenSG,34,8-17,2-7,4-5,0,6,6,1,0,0,1,2,22,+10
K. Martin Jr.K. Martin Jr.F,22,3-6,0-0,5-6,2,2,4,0,1,0,3,6,11,-7
D. NwabaD. NwabaSF,11,2-5,1-1,0-0,1,3,4,1,1,1,1,2,5,-9
G. MathewsG. MathewsSG,26,1-5,1-4,2-2,0,2,2,0,0,1,2,4,5,-10
J. ChristopherJ. ChristopherSG,14,4-5,0-1,0-0,1,3,4,1,0,0,1,0,8,-4
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,44,9-20,0-8,6-8,2,7,9,2,1,1,4,5,24,-6
D. AvdijaD. AvdijaSF,33,2-12,1-7,3-4,2,6,8,1,0,0,1,2,8,-11
D. GaffordD. GaffordC,20,2-3,0-0,1-2,2,5,7,1,1,1,1,4,5,-13
B. BealB. BealSG,30,9-25,3-8,6-6,1,4,5,5,1,1,3,6,27,+1
K. Caldwell-PopeK. Caldwell-PopeSG,40,10-16,5-9,1-1,0,6,6,2,3,2,1,3,26,-5
D. BertansD. BertansSF,9,0-2,0-2,0-0,0,3,3,1,2,0,2,0,0,+7
C. KispertC. KispertSF,32,2-6,1-5,2-2,1,0,1,2,1,1,2,2,7,+9
R. NetoR. NetoPG,32,6-7,0-0,2-3,1,1,2,4,0,0,1,3,14,+5
C. SwordC. SwordG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0,-2
