BKN,IND,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,41,15-24,2-6,7-7,1,7,8,7,1,0,3,3,39,+13
N. ClaxtonN. ClaxtonPF,23,5-8,0-0,2-3,2,3,5,3,2,1,1,5,12,-6
D. Duke Jr.D. Duke Jr.SF,18,0-2,0-2,2-2,1,2,3,1,1,0,2,3,2,-13
K. IrvingK. IrvingPG,32,9-17,0-2,4-4,0,3,3,4,3,1,2,3,22,+16
J. HardenJ. HardenSG,40,5-12,0-4,8-10,0,5,5,6,1,0,1,3,18,+3
B. GriffinB. GriffinPF,5,0-2,0-0,0-0,1,0,1,1,1,0,0,1,0,-3
J. JohnsonJ. JohnsonPF,9,2-3,1-1,0-0,2,1,3,0,0,0,0,0,5,-6
L. AldridgeL. AldridgeC,16,6-7,0-0,1-1,1,2,3,0,0,0,2,0,13,+2
P. MillsP. MillsPG,35,2-6,2-6,0-0,0,2,2,5,2,0,0,1,6,+10
D. BembryD. BembrySG,20,5-5,0-0,2-2,1,4,5,1,2,2,0,1,12,+24
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,38,10-13,1-1,11-13,2,10,12,10,0,0,6,4,32,-5
J. HolidayJ. HolidaySF,26,2-10,1-9,2-2,0,1,1,0,0,0,1,0,7,-17
M. TurnerM. TurnerC,31,5-10,1-4,3-3,0,4,4,1,1,5,0,1,14,-2
D. Washington Jr.D. Washington Jr.PG,37,3-13,2-7,2-2,0,3,3,3,0,0,3,2,10,-5
K. SykesK. SykesG,40,6-10,2-4,4-4,0,3,3,5,0,0,1,4,18,-6
J. AndersonJ. AndersonF,7,0-2,0-2,0-0,0,0,0,1,0,0,0,3,0,+6
O. BrissettO. BrissettSF,26,2-4,2-4,2-2,4,4,8,0,1,0,1,2,8,-11
T. TaylorT. TaylorSG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,+2
L. StephensonL. StephensonG,32,12-19,4-8,2-2,1,1,2,5,1,0,3,3,30,-6
A. CaverA. CaverG,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
N. HintonN. HintonG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
