GS,DAL,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,32,1-4,0-1,0-0,0,3,3,4,2,1,5,2,2,-3
A. WigginsA. WigginsSF,33,7-13,2-5,1-4,2,1,3,2,2,1,0,1,17,-9
K. LooneyK. LooneyC,21,3-6,0-0,0-0,2,4,6,0,0,2,1,2,6,+5
S. CurryS. CurryPG,36,5-24,1-9,3-4,0,9,9,5,0,1,5,2,14,0
G. Payton IIG. Payton IISG,24,5-5,1-1,0-0,2,9,11,3,2,0,1,2,11,+7
N. BjelicaN. BjelicaPF,14,2-5,0-2,0-0,1,2,3,1,1,0,1,1,4,-10
J. KumingaJ. KumingaPF,12,0-3,0-1,4-4,0,2,2,0,0,0,1,3,4,-13
J. Toscano-AndersonJ. Toscano-AndersonSF,20,4-7,0-2,1-2,1,4,5,2,2,0,0,3,9,-15
D. LeeD. LeeSG,19,2-5,1-3,2-2,0,2,2,0,1,0,0,2,7,-14
Q. WeatherspoonQ. WeatherspoonSG,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,-4
J. PooleJ. PooleSG,24,3-8,0-4,0-0,0,2,2,3,0,0,2,2,6,-21
M. MoodyM. MoodySG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
C. ChiozzaC. ChiozzaG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,37,6-15,4-7,1-2,3,6,9,0,0,2,1,1,17,+9
M. KleberM. KleberPF,35,1-9,0-7,0-0,1,9,10,2,0,1,0,1,2,+2
D. PowellD. PowellC,20,2-3,0-0,4-5,4,2,6,1,2,0,0,3,8,+6
J. BrunsonJ. BrunsonPG,34,6-15,0-3,3-4,0,2,2,4,0,0,3,1,15,-2
L. DoncicL. DoncicPG,34,7-18,2-8,10-12,0,7,7,8,2,0,6,1,26,+2
T. Hardaway Jr.T. Hardaway Jr.SF,25,6-14,2-6,0-0,0,3,3,1,1,1,1,1,14,+18
R. BullockR. BullockSF,27,2-7,1-5,1-1,1,2,3,2,1,1,0,3,6,+9
S. BrownS. BrownSF,15,1-2,1-2,2-2,0,4,4,1,0,0,1,0,5,+29
M. ChrissM. ChrissSF,4,1-3,1-1,0-0,1,1,2,1,0,0,0,2,3,-1
F. NtilikinaF. NtilikinaPG,1,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+4
J. GreenJ. GreenSG,5,0-0,0-0,0-0,0,0,0,1,0,0,0,2,0,+5
T. PinsonT. PinsonG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,+4
