TOR,MIL,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,42,13-23,2-4,5-7,0,6,6,6,2,1,4,3,33,+11
O. AnunobyO. AnunobySF,35,6-10,4-7,6-8,0,6,6,2,0,0,3,4,22,-3
S. BarnesS. BarnesSF,38,2-6,0-2,2-4,2,4,6,4,1,0,4,5,6,+4
F. VanVleetF. VanVleetSG,39,7-18,5-10,0-0,0,3,3,5,2,1,1,2,19,0
G. Trent Jr.G. Trent Jr.SG,31,8-17,3-10,3-4,2,3,5,2,0,1,1,2,22,+14
C. BoucherC. BoucherPF,15,1-4,1-2,0-0,0,2,2,0,0,1,0,2,3,-11
P. AchiuwaP. AchiuwaPF,16,2-6,1-1,1-2,4,4,8,3,1,0,0,1,6,+3
J. ChampagnieJ. ChampagnieSF,11,3-4,0-0,0-0,1,1,2,1,1,0,0,1,6,+16
K. BirchK. BirchC,14,0-1,0-0,0-0,1,5,6,1,1,0,1,0,0,-4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. MiddletonK. MiddletonSF,34,9-16,1-3,6-8,2,4,6,4,1,2,4,4,25,-8
J. NworaJ. NworaSF,40,7-15,3-9,0-0,0,6,6,2,1,0,1,3,17,-16
B. PortisB. PortisC,22,4-9,2-3,1-2,2,4,6,0,1,1,1,6,11,-8
J. HolidayJ. HolidayPG,37,5-15,3-6,2-4,2,6,8,12,1,3,8,0,15,0
W. MatthewsW. MatthewsSG,29,3-7,3-7,0-0,1,2,3,1,1,0,0,4,9,-21
S. MamukelashviliS. MamukelashviliPF,23,2-8,1-4,5-6,2,3,5,0,2,1,1,0,10,+7
D. CousinsD. CousinsC,20,5-8,2-3,3-4,0,10,10,0,3,1,1,1,15,+9
R. HoodR. HoodSG,25,3-5,2-3,1-2,0,1,1,2,0,0,0,0,9,-2
J. SmartJ. SmartG,11,0-2,0-1,0-0,0,0,0,1,0,0,1,0,0,+9
