OKC,MIN,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Robinson-EarlJ. Robinson-EarlPF,22,2-5,1-2,2-2,0,2,2,1,1,2,0,1,7,-19
A. PokusevskiA. PokusevskiC,17,2-6,0-2,0-0,1,1,2,0,1,1,2,0,4,-18
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,38,5-15,2-6,7-7,0,2,2,5,0,0,4,4,19,-18
A. WigginsA. WigginsSG,37,5-13,0-5,1-2,0,3,3,1,1,0,0,3,11,-18
J. GiddeyJ. GiddeySG,35,6-11,2-4,0-0,4,11,15,6,1,0,6,2,14,-11
D. BazleyD. BazleyPF,24,3-12,0-4,4-6,3,4,7,1,1,1,2,2,10,+15
K. WilliamsK. WilliamsSF,25,5-10,0-1,0-0,5,4,9,2,4,0,1,1,10,+10
M. MuscalaM. MuscalaC,16,3-11,2-6,1-1,0,4,4,1,2,3,0,2,9,+5
T. MannT. MannPG,18,1-5,1-3,0-0,0,7,7,0,0,0,2,1,3,+2
T. JeromeT. JeromeSG,9,1-2,1-2,0-0,1,0,1,4,0,0,0,2,3,+12
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,30,2-4,0-0,1-2,3,10,13,3,1,1,1,2,5,+21
A. EdwardsA. EdwardsSF,32,8-17,4-10,2-3,2,3,5,2,5,0,2,3,22,+20
K. TownsK. TownsC,37,6-14,1-4,4-5,6,10,16,3,1,2,6,6,17,+16
P. BeverleyP. BeverleyPG,26,6-11,5-9,3-4,1,3,4,6,1,1,1,3,20,+19
D. RussellD. RussellPG,30,3-12,0-5,0-0,0,2,2,3,1,0,3,0,6,+1
T. PrinceT. PrincePF,10,0-4,0-2,0-0,0,3,3,0,0,0,1,0,0,-8
J. McDanielsJ. McDanielsPF,21,5-12,1-4,0-1,2,1,3,2,0,0,0,0,11,-14
N. ReidN. ReidC,11,0-2,0-2,1-2,1,2,3,0,1,3,0,1,1,-8
M. BeasleyM. BeasleySG,18,0-8,0-7,0-0,0,3,3,1,1,0,1,0,0,-2
J. NowellJ. NowellSG,23,6-6,1-1,3-3,0,3,3,3,0,0,1,1,16,-5
