MIA,POR,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,36,3-8,1-2,7-12,4,6,10,6,1,1,3,3,14,+5
C. MartinC. MartinSF,37,4-6,1-3,2-2,1,2,3,1,0,0,1,1,11,+13
O. YurtsevenO. YurtsevenC,32,5-9,1-1,3-5,5,11,16,4,0,1,1,4,14,+13
K. LowryK. LowryPG,16,1-4,1-3,4-4,0,2,2,9,1,0,1,1,7,+7
M. StrusM. StrusSG,31,9-17,7-13,0-0,0,6,6,5,0,0,1,0,25,+8
C. SilvaC. SilvaPF,10,2-2,0-0,0-0,2,1,3,0,0,0,0,4,4,-2
H. HighsmithH. HighsmithF,9,1-2,1-2,0-0,0,1,1,0,0,1,0,1,3,-14
T. HerroT. HerroPG,36,5-23,2-9,4-4,2,3,5,3,1,0,2,2,16,+1
D. RobinsonD. RobinsonSG,17,4-7,4-6,0-0,0,4,4,0,0,0,0,1,12,-1
K. GuyK. GuySG,16,3-4,1-2,2-2,0,0,0,1,0,0,2,4,9,0
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. Nance Jr.L. Nance Jr.PF,27,1-4,1-2,6-6,1,1,2,2,2,0,0,1,9,-8
N. PowellN. PowellSF,40,7-18,3-7,9-10,1,2,3,1,0,1,1,1,26,-5
N. LittleN. LittleSF,34,4-12,2-8,0-1,2,2,4,3,0,1,1,3,10,-9
J. NurkicJ. NurkicC,33,5-7,0-2,4-6,2,11,13,1,2,1,1,4,14,-13
A. SimonsA. SimonsSG,39,9-17,5-10,5-5,0,1,1,7,2,0,1,3,28,-1
R. CovingtonR. CovingtonPF,28,3-9,2-6,2-2,1,8,9,0,0,0,1,2,10,-5
T. WatfordT. WatfordPF,8,0-2,0-0,1-4,0,0,0,0,0,1,0,2,1,+14
D. Smith Jr.D. Smith Jr.PG,13,1-4,0-0,1-2,0,1,1,3,2,0,0,2,3,-5
B. McLemoreB. McLemoreSG,15,1-2,1-2,0-0,0,1,1,1,0,0,0,5,3,-2
C. EllebyC. EllebySG,3,2-3,1-1,0-0,1,1,2,0,0,0,0,0,5,+4
