GS,NO,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
O. Porter Jr.O. Porter Jr.SF,24,2-6,1-3,0-0,0,7,7,0,0,0,1,2,5,-11
A. WigginsA. WigginsSF,32,7-17,1-6,6-7,0,4,4,1,2,1,2,3,21,-8
K. LooneyK. LooneyC,20,3-7,0-0,0-0,3,6,9,2,1,1,1,3,6,-11
G. Payton IIG. Payton IISG,14,2-3,0-1,0-0,0,1,1,0,1,0,1,2,4,-11
J. PooleJ. PooleSG,33,3-14,2-9,3-3,0,0,0,5,3,0,3,5,11,-1
N. BjelicaN. BjelicaPF,21,4-6,1-3,0-0,0,2,2,1,1,1,1,1,9,+7
J. KumingaJ. KumingaPF,20,6-14,0-2,1-2,3,3,6,1,0,1,2,4,13,+6
A. IguodalaA. IguodalaF,20,2-3,1-2,0-0,0,3,3,7,1,1,2,3,5,+1
D. LeeD. LeeSG,30,5-10,1-4,1-2,1,4,5,3,3,1,1,1,12,+5
M. MoodyM. MoodySG,23,3-6,0-3,4-4,1,4,5,0,0,0,0,0,10,+4
C. ChiozzaC. ChiozzaG,3,0-1,0-0,0-0,0,1,1,2,0,0,0,0,0,-6
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,35,12-21,1-4,7-8,2,9,11,6,0,0,2,2,32,-3
H. JonesH. JonesSF,37,4-8,0-0,5-6,1,5,6,2,5,0,0,1,13,-4
J. ValanciunasJ. ValanciunasC,32,2-6,0-2,4-4,2,8,10,4,1,2,4,3,8,+14
D. GrahamD. GrahamPG,29,3-14,1-9,0-0,0,1,1,1,1,0,4,1,7,+15
J. HartJ. HartSG,34,4-10,1-5,5-6,2,4,6,2,0,0,3,5,14,-2
G. ClarkG. ClarkF,16,3-4,3-4,1-2,0,7,7,0,0,1,1,0,10,-1
G. TempleG. TempleSF,19,2-5,1-4,0-0,0,2,2,2,0,0,1,1,5,+4
J. HayesJ. HayesC,12,2-2,0-0,1-3,1,1,2,0,0,2,1,3,5,+4
J. AlvaradoJ. AlvaradoPG,11,0-4,0-2,0-0,0,1,1,1,0,0,0,2,0,-5
N. Alexander-WalkerN. Alexander-WalkerSG,17,3-9,1-4,0-0,0,0,0,2,0,0,1,0,7,+3
