LAC,PHX,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,36,8-17,3-6,7-7,3,5,8,3,0,0,0,1,26,-9
S. IbakaS. IbakaC,20,4-8,0-2,0-0,2,4,6,1,0,1,0,0,8,-6
R. JacksonR. JacksonPG,31,5-16,2-8,4-4,0,8,8,3,0,0,5,4,16,-11
E. BledsoeE. BledsoeSG,36,4-12,0-3,2-3,0,5,5,3,0,0,4,0,10,-8
T. MannT. MannSG,33,3-5,0-1,2-4,0,4,4,4,1,0,1,3,8,-3
N. BatumN. BatumPF,18,0-3,0-3,1-2,0,7,7,2,0,2,0,1,1,-10
J. WinslowJ. WinslowPF,14,0-1,0-0,0-0,0,4,4,2,2,2,1,1,0,-8
W. GabrielW. GabrielF,2,0-2,0-0,0-0,2,0,2,0,0,1,0,1,0,-3
A. CoffeyA. CoffeySG,27,3-7,1-4,1-1,0,2,2,1,0,0,0,5,8,-13
B. Boston Jr.B. Boston Jr.SG,20,4-12,0-1,2-2,1,2,3,1,2,1,1,0,10,-8
K. JohnsonK. JohnsonSG,2,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
J. ScrubbJ. ScrubbSG,2,0-1,0-0,2-2,0,0,0,0,0,0,0,0,2,-3
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. SmithJ. SmithPF,33,9-17,1-2,0-1,8,6,14,1,0,0,1,4,19,+5
C. JohnsonC. JohnsonSF,35,9-14,4-7,2-2,1,6,7,1,1,2,1,3,24,+2
M. BridgesM. BridgesSF,40,4-12,0-4,0-0,2,2,4,0,1,0,0,1,8,+8
C. PaulC. PaulPG,34,5-14,2-5,2-2,3,10,13,10,2,1,1,3,14,+4
D. BookerD. BookerSG,33,5-22,0-7,1-2,3,7,10,4,0,0,2,2,11,-6
I. WainrightI. WainrightF,11,2-4,0-1,0-0,1,0,1,1,0,0,0,1,4,+7
P. BassP. BassF,2,0-2,0-1,2-2,1,1,2,0,0,0,0,1,2,+5
J. JacksonJ. JacksonF,6,3-4,2-3,0-0,0,2,2,0,0,0,0,1,8,+18
B. BiyomboB. BiyomboC,13,0-2,0-0,0-0,1,2,3,0,0,3,0,1,0,+7
E. PaytonE. PaytonPG,15,3-7,0-0,0-0,0,2,2,1,0,0,0,1,6,+23
C. PayneC. PaynePG,18,4-9,1-1,1-1,1,4,5,4,1,1,3,2,10,+12
