MIL,BKN,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,27,11-17,2-5,7-10,1,6,7,9,0,0,4,3,31,+16
K. MiddletonK. MiddletonSF,30,6-15,5-9,3-3,0,6,6,5,2,0,2,2,20,+16
J. NworaJ. NworaSF,31,5-11,3-6,0-0,1,1,2,0,0,0,0,1,13,+18
B. PortisB. PortisC,32,9-16,2-5,5-5,3,9,12,2,0,1,1,1,25,+27
W. MatthewsW. MatthewsSG,30,5-9,2-6,0-1,1,6,7,1,0,1,1,2,12,+19
S. OjeleyeS. OjeleyePF,11,0-2,0-1,0-0,0,0,0,0,0,0,0,5,0,-9
S. MamukelashviliS. MamukelashviliPF,15,2-4,0-1,0-0,3,1,4,0,1,0,0,2,4,-9
T. AntetokounmpoT. AntetokounmpoSF,8,1-5,0-2,2-2,2,0,2,0,0,1,0,3,4,-9
L. KornetL. KornetC,3,0-1,0-0,0-0,1,0,1,0,0,0,0,1,0,-6
J. DowtinJ. DowtinPG,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
L. GallowayL. GallowaySG,20,1-6,0-3,0-0,1,2,3,4,1,0,0,0,2,+6
R. HoodR. HoodSG,26,4-8,2-6,0-0,0,0,0,0,2,0,1,0,10,+3
J. SmartJ. SmartG,4,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0,-8
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,37,10-19,1-3,8-8,2,7,9,7,1,1,2,4,29,-19
N. ClaxtonN. ClaxtonPF,25,6-9,0-0,2-2,5,1,6,1,1,1,1,3,14,-23
D. Duke Jr.D. Duke Jr.SF,21,2-6,0-2,3-4,1,2,3,0,0,0,0,2,7,-5
P. MillsP. MillsPG,32,1-8,1-6,0-0,0,3,3,2,2,0,0,1,3,-16
J. HardenJ. HardenSG,36,6-15,1-3,3-3,0,9,9,7,0,1,5,1,16,-20
J. JohnsonJ. JohnsonPF,13,3-5,0-1,0-0,1,1,2,1,1,0,0,0,6,+3
B. BrownB. BrownSF,11,3-3,1-1,0-0,0,4,4,0,0,0,1,1,7,+10
K. EdwardsK. EdwardsSF,7,0-2,0-2,0-0,1,3,4,3,0,1,0,0,0,+8
L. AldridgeL. AldridgeC,9,1-2,0-0,0-0,0,1,1,0,0,1,0,1,2,-2
D. SharpeD. SharpeC,7,2-4,0-0,2-2,3,0,3,0,0,0,0,1,6,+8
J. CarterJ. CarterPG,7,2-7,1-4,0-0,0,0,0,0,1,0,0,0,5,+8
D. BembryD. BembrySG,8,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-1
C. ThomasC. ThomasSG,28,6-12,1-5,1-1,1,4,5,2,2,0,1,1,14,-11
