WSH,CHI,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,7-17,0-4,7-8,1,10,11,2,2,1,4,3,21,-12
D. GaffordD. GaffordC,28,7-9,0-0,0-0,3,5,8,1,0,1,0,0,14,-9
S. DinwiddieS. DinwiddiePG,31,4-9,1-3,9-9,1,2,3,4,2,0,2,1,18,+5
B. BealB. BealSG,34,9-14,2-4,6-6,0,3,3,6,1,0,5,3,26,-18
K. Caldwell-PopeK. Caldwell-PopeSG,26,5-9,2-3,2-2,0,1,1,3,0,0,1,2,14,-11
I. ToddI. ToddPF,4,1-1,0-0,0-0,0,2,2,0,0,0,0,0,2,+11
C. KispertC. KispertSF,23,4-10,1-5,0-0,0,1,1,1,0,2,0,1,9,-7
D. AvdijaD. AvdijaSF,19,3-7,1-4,1-1,0,1,1,1,1,0,2,3,8,-7
G. MonroeG. MonroeC,14,4-7,0-0,0-0,4,3,7,1,1,1,0,1,8,+12
R. NetoR. NetoPG,12,0-1,0-1,0-0,1,2,3,4,0,0,0,1,0,-18
A. HolidayA. HolidayPG,13,1-4,0-0,0-0,0,1,1,5,1,0,1,0,2,+14
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,31,5-16,0-1,5-6,2,3,5,8,0,1,4,3,15,+5
D. Jones Jr.D. Jones Jr.SF,16,0-2,0-1,2-2,0,3,3,2,0,0,1,4,2,+4
N. VucevicN. VucevicC,33,8-19,0-4,0-0,4,10,14,7,4,0,0,1,16,+6
L. BallL. BallPG,35,6-11,6-11,0-0,1,4,5,6,2,0,1,1,18,-3
Z. LaVineZ. LaVineSG,33,9-18,1-6,8-8,0,1,1,3,1,0,4,2,27,+7
A. McKinnieA. McKinnieF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
J. BellJ. BellF,2,0-0,0-0,0-0,1,0,1,0,1,0,0,2,0,+1
T. Brown Jr.T. Brown Jr.SF,14,2-3,1-2,0-0,1,0,1,0,0,0,0,2,5,+2
T. BradleyT. BradleyC,11,4-5,0-0,0-0,1,3,4,1,0,2,0,1,8,+6
M. SimonovicM. SimonovicC,1,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-5
C. WhiteC. WhitePG,32,7-8,4-4,3-3,0,2,2,3,0,0,2,2,21,+7
A. DosunmuA. DosunmuSG,31,7-9,3-4,1-2,0,5,5,4,3,0,2,2,18,+15
