MIN,OKC,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,29,5-9,0-0,1-3,5,11,16,3,3,0,1,2,11,+17
J. McDanielsJ. McDanielsPF,18,4-9,1-4,0-0,0,1,1,0,0,0,2,4,9,+12
A. EdwardsA. EdwardsSF,29,9-16,6-9,0-0,0,6,6,7,1,1,0,1,24,+31
K. TownsK. TownsC,27,7-11,0-2,5-6,0,8,8,5,1,3,4,4,19,+22
D. RussellD. RussellPG,31,11-12,4-5,1-1,0,1,1,12,2,0,3,0,27,+29
T. PrinceT. PrincePF,16,2-4,1-2,0-0,0,1,1,3,1,0,0,3,5,+17
N. KnightN. KnightF,5,0-0,0-0,0-2,0,2,2,0,0,0,1,0,0,-11
J. LaymanJ. LaymanSF,6,0-3,0-3,0-0,0,0,0,1,1,0,0,0,0,-8
J. OkogieJ. OkogieSF,20,2-5,1-3,3-3,0,2,2,0,0,0,0,1,8,+16
N. ReidN. ReidC,20,6-8,2-4,3-4,2,3,5,1,0,3,2,1,17,+8
J. McLaughlinJ. McLaughlinPG,6,0-1,0-1,0-0,0,0,0,2,1,1,0,1,0,-4
M. BeasleyM. BeasleySG,20,2-9,1-7,0-0,0,2,2,2,1,0,1,0,5,+13
J. NowellJ. NowellSG,12,2-3,1-1,5-6,1,0,1,3,1,0,1,1,10,+8
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Robinson-EarlJ. Robinson-EarlPF,25,0-6,0-4,0-0,3,5,8,1,0,0,2,2,0,-22
L. DortL. DortSF,27,5-11,3-7,5-6,0,3,3,1,0,2,1,2,18,-29
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,28,4-11,0-3,4-5,0,3,3,6,2,1,4,1,12,-13
A. WigginsA. WigginsSG,26,5-10,1-2,2-2,4,3,7,4,2,0,1,2,13,-18
J. GiddeyJ. GiddeySG,30,3-6,0-2,4-4,1,4,5,5,1,0,3,3,10,-30
D. BazleyD. BazleyPF,16,0-2,0-2,3-4,1,0,1,1,0,0,2,2,3,-13
K. WilliamsK. WilliamsSF,16,2-4,1-1,0-0,2,2,4,2,2,0,1,3,5,-12
M. MuscalaM. MuscalaC,12,3-9,3-7,0-0,1,2,3,0,2,1,1,3,9,-6
A. PokusevskiA. PokusevskiC,20,3-5,1-2,0-0,0,4,4,2,1,0,1,1,7,-7
T. MannT. MannPG,21,4-12,2-5,0-2,0,2,2,0,0,0,1,2,10,-17
T. MaledonT. MaledonPG,8,3-5,1-3,0-0,0,1,1,2,0,0,1,2,7,+2
P. WatsonP. WatsonSG,4,2-3,2-3,0-0,0,2,2,1,0,0,0,0,6,+11
T. JeromeT. JeromeSG,6,2-5,1-3,0-0,1,1,2,1,0,0,1,0,5,+4
