SAC,DEN,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,29,5-10,0-2,2-2,2,3,5,0,1,1,1,2,12,-5
H. BarnesH. BarnesSF,34,3-8,1-3,2-2,1,8,9,2,0,0,1,0,9,+3
D. JonesD. JonesC,8,1-3,0-0,0-0,1,1,2,0,0,0,1,4,2,-10
D. FoxD. FoxPG,38,11-23,0-3,8-10,2,5,7,5,1,0,2,3,30,+5
T. HaliburtonT. HaliburtonPG,29,5-7,4-5,0-0,0,4,4,6,0,0,1,2,14,-10
M. HarklessM. HarklessSF,9,2-6,2-4,0-0,1,1,2,1,0,0,2,2,6,-11
R. Woodard IIR. Woodard IISF,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
T. ThompsonT. ThompsonC,11,1-3,0-0,3-4,2,1,3,0,0,1,1,1,5,-2
A. LenA. LenC,28,7-11,0-1,4-5,3,7,10,2,2,0,0,4,18,+2
N. QuetaN. QuetaC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. MitchellD. MitchellPG,26,3-12,2-4,0-0,0,2,2,3,0,0,0,1,8,-11
B. HieldB. HieldSG,27,2-9,2-7,1-1,0,2,2,2,2,1,2,0,7,-11
J. RamseyJ. RamseySG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Ja. GreenJa. GreenPF,22,6-8,1-3,0-0,1,8,9,1,0,1,0,1,13,+2
A. GordonA. GordonPF,33,4-7,0-1,2-2,0,3,3,3,1,0,1,1,10,+1
W. BartonW. BartonSF,34,3-9,2-6,2-2,0,2,2,6,1,0,3,2,10,0
N. JokicN. JokicC,34,13-20,3-6,4-8,1,9,10,7,2,2,2,3,33,0
M. MorrisM. MorrisPG,31,5-11,1-3,2-5,1,2,3,4,0,0,0,1,13,-1
Je. GreenJe. GreenPF,16,7-9,1-3,3-3,0,3,3,1,0,1,1,3,18,+15
Z. NnajiZ. NnajiPF,13,1-1,1-1,0-2,2,1,3,0,0,1,0,3,3,+6
F. CampazzoF. CampazzoPG,25,2-6,0-3,2-2,0,3,3,7,1,1,0,3,6,+2
B. HylandB. HylandPG,16,5-11,3-6,0-0,0,5,5,3,0,1,0,1,13,+10
A. RiversA. RiversSG,17,1-3,0-2,0-0,0,0,0,0,0,0,0,2,2,+15
