ATL,LAL,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,32,8-17,0-0,5-5,5,3,8,0,0,0,0,4,21,-6
C. CapelaC. CapelaC,23,4-10,0-0,1-5,4,8,12,0,1,0,0,3,9,-12
T. YoungT. YoungPG,36,8-21,1-7,8-10,0,9,9,14,0,0,9,1,25,-8
B. BogdanovicB. BogdanovicSG,27,5-12,4-9,1-2,1,3,4,2,1,0,2,1,15,-25
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,23,0-5,0-5,0-0,1,2,3,3,0,0,0,1,0,-2
D. GallinariD. GallinariPF,18,4-6,3-5,2-2,1,4,5,2,0,0,0,1,13,-9
O. OkongwuO. OkongwuPF,18,5-5,0-0,2-3,1,6,7,0,0,0,1,4,12,-2
C. ReddishC. ReddishSF,13,0-4,0-1,0-0,0,2,2,1,0,0,1,1,0,-15
S. CooperS. CooperPG,3,1-1,1-1,0-0,0,2,2,0,0,0,1,0,3,+2
D. WrightD. WrightSG,15,1-4,0-2,0-0,0,0,0,5,0,0,0,0,2,-4
S. MaysS. MaysSG,3,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
K. HuerterK. HuerterSG,29,6-10,4-6,0-0,0,2,2,2,1,0,1,2,16,-1
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. JohnsonS. JohnsonPF,20,1-2,0-1,1-1,1,1,2,2,2,1,1,3,3,+4
L. JamesL. JamesSF,37,13-24,1-6,5-5,1,7,8,9,4,3,4,4,32,+4
R. WestbrookR. WestbrookPG,31,4-14,0-0,1-3,1,10,11,13,0,0,3,6,9,+22
A. BradleyA. BradleyPG,24,8-11,4-7,1-1,1,5,6,0,0,0,0,5,21,+15
M. MonkM. MonkSG,35,11-20,7-12,0-0,1,3,4,3,2,0,0,4,29,+14
C. AnthonyC. AnthonyPF,28,5-10,4-7,3-3,1,6,7,2,2,0,0,0,17,+2
T. ArizaT. ArizaSF,12,0-2,0-2,0-0,0,2,2,1,0,0,0,0,0,+8
K. BazemoreK. BazemoreSF,2,0-2,0-0,0-0,1,1,2,0,0,0,0,0,0,-3
D. HowardD. HowardC,4,0-0,0-0,0-0,0,3,3,0,0,0,0,1,0,+6
A. ReavesA. ReavesSG,18,1-3,0-2,0-0,1,0,1,2,2,0,0,2,2,+10
T. Horton-TuckerT. Horton-TuckerSG,31,7-13,1-4,6-6,0,1,1,5,2,0,0,1,21,-2
