CLE,POR,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,33,4-9,2-6,5-6,0,1,1,5,1,1,0,2,15,+13
L. StevensL. StevensF,17,1-5,0-2,1-2,0,3,3,1,0,0,0,1,3,+3
J. AllenJ. AllenC,33,5-6,0-0,3-4,4,9,13,1,2,0,2,4,13,+16
E. MobleyE. MobleyC,34,7-14,0-0,4-8,3,5,8,3,1,2,1,0,18,-1
D. GarlandD. GarlandPG,39,10-17,5-8,1-1,0,1,1,6,1,0,3,1,26,+9
K. LoveK. LovePF,27,3-9,2-6,0-2,1,6,7,2,0,0,1,1,8,+7
C. OsmanC. OsmanSF,30,5-9,4-7,0-0,0,3,3,0,1,0,0,2,14,+10
R. RondoR. RondoPG,17,2-9,2-8,5-6,0,5,5,3,1,0,1,3,11,+5
D. WindlerD. WindlerSG,10,2-2,2-2,0-0,0,2,2,1,0,0,0,1,6,+3
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,34,6-9,5-8,0-0,3,5,8,1,1,2,3,5,17,-8
N. PowellN. PowellSF,37,5-14,4-8,5-8,3,2,5,3,1,0,0,2,19,-8
N. LittleN. LittleSF,31,3-9,2-4,0-2,2,6,8,0,0,0,1,2,8,-9
J. NurkicJ. NurkicC,31,5-17,2-2,2-4,4,8,12,4,2,1,2,3,14,-13
A. SimonsA. SimonsSG,34,6-15,2-8,0-0,0,3,3,7,1,1,4,2,14,-12
T. WatfordT. WatfordPF,14,1-4,0-0,2-2,1,5,6,2,0,0,0,1,4,-5
C. ZellerC. ZellerC,12,3-5,0-0,0-0,2,2,4,0,1,0,1,3,6,+2
D. Smith Jr.D. Smith Jr.PG,17,4-8,0-0,2-2,0,3,3,4,1,1,0,0,10,-2
B. McLemoreB. McLemoreSG,18,2-8,1-5,0-0,0,0,0,1,0,0,0,1,5,-5
C. EllebyC. EllebySG,11,2-3,0-0,0-1,1,1,2,0,1,0,0,0,4,-5
