ORL,DET,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. GillespieF. GillespieSF,14,1-3,0-1,0-1,2,0,2,2,0,1,0,0,2,+2
F. WagnerF. WagnerSF,28,4-10,1-3,0-0,0,3,3,2,0,1,2,1,9,-8
M. BambaM. BambaC,29,2-7,1-4,0-0,3,4,7,2,0,4,0,2,5,+1
C. AnthonyC. AnthonyPG,36,5-18,3-12,6-8,1,7,8,6,2,0,1,3,19,+5
G. HarrisG. HarrisSG,34,8-17,6-12,6-6,0,6,6,2,1,0,4,2,28,+7
C. OkekeC. OkekePF,26,1-8,1-6,0-0,1,9,10,3,0,0,0,1,3,-3
A. SchofieldA. SchofieldSF,4,0-1,0-0,0-0,0,1,1,0,0,0,1,1,0,-4
M. WagnerM. WagnerC,12,3-5,0-1,2-2,0,0,0,1,1,1,2,4,8,-4
T. FrazierT. FrazierPG,10,0-2,0-1,0-0,0,0,0,3,0,0,0,2,0,-9
R.J. HamptonR.J. HamptonPG,16,2-5,1-2,0-0,0,2,2,2,2,1,1,1,5,-13
T. RossT. RossSG,31,3-10,1-4,6-6,1,4,5,2,0,1,1,3,13,+1
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,36,7-16,2-4,0-0,2,4,6,3,0,0,0,0,16,-1
I. StewartI. StewartC,20,3-5,0-1,0-1,0,8,8,1,0,2,2,2,6,+4
C. CunninghamC. CunninghamPG,32,3-14,0-5,6-8,1,2,3,5,1,0,2,4,12,+1
K. HayesK. HayesPG,24,2-4,1-3,0-0,0,1,1,3,1,0,2,2,5,-2
H. DialloH. DialloSG,29,8-17,1-4,0-0,1,5,6,0,3,1,0,4,17,+6
T. LylesT. LylesPF,28,7-10,1-2,1-2,2,11,13,2,1,2,2,2,16,+1
C. JosephC. JosephPG,24,2-4,1-3,3-3,0,5,5,5,0,0,1,3,8,+8
S. LeeS. LeePG,18,2-5,2-4,0-0,1,1,2,3,1,1,1,1,6,+1
J. JacksonJ. JacksonSG,18,4-10,2-6,1-2,0,4,4,1,0,0,2,2,11,+1
R. McGruderR. McGruderG,12,0-2,0-1,0-0,0,1,1,0,0,0,0,1,0,+6
