UTAH,IND,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,38,3-3,2-2,0-0,1,5,6,2,1,1,1,4,8,-4
B. BogdanovicB. BogdanovicSF,37,7-16,3-9,4-4,0,6,6,1,0,0,3,2,21,-9
H. WhitesideH. WhitesideC,25,3-6,0-0,2-3,3,5,8,0,0,0,1,5,8,+2
M. ConleyM. ConleyPG,31,3-6,1-4,2-2,1,4,5,7,2,0,2,1,9,+9
D. MitchellD. MitchellSG,37,13-27,6-12,4-4,1,1,2,9,1,0,2,5,36,-3
N. PelleN. PellePF,9,2-4,0-0,0-0,2,2,4,0,0,1,1,0,4,-12
E. PaschallE. PaschallPF,4,0-0,0-0,2-2,0,0,0,0,0,0,1,0,2,+2
R. GayR. GaySF,17,2-7,1-3,2-2,0,5,5,0,1,1,1,3,7,-9
D. House Jr.D. House Jr.SF,13,0-0,0-0,0-0,0,1,1,0,0,0,0,3,0,-6
J. ClarksonJ. ClarksonPG,28,7-15,2-5,2-2,1,1,2,1,1,0,2,2,18,-30
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,38,18-22,3-4,3-4,1,5,6,3,1,1,3,2,42,+13
J. HolidayJ. HolidaySF,29,4-7,4-6,3-4,0,4,4,1,0,0,0,1,15,+3
M. TurnerM. TurnerC,28,3-8,0-1,2-4,1,5,6,2,0,4,3,3,8,-4
D. Washington Jr.D. Washington Jr.PG,32,4-11,3-7,5-6,0,3,3,5,1,0,1,2,16,-1
K. SykesK. SykesG,31,2-5,1-2,2-2,1,4,5,4,1,0,2,3,7,+12
O. BrissettO. BrissettSF,18,3-7,1-2,0-0,2,3,5,0,0,0,0,3,7,+7
J. LambJ. LambSG,16,1-2,0-1,3-4,0,0,0,1,1,1,0,3,5,+8
C. DuarteC. DuarteSG,19,2-6,1-3,4-6,0,3,3,0,1,1,0,3,9,+8
L. StephensonL. StephensonG,29,7-12,1-3,1-2,0,6,6,14,4,0,1,1,16,+14
