MIA,PHX,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,29,5-10,3-5,0-0,3,4,7,3,2,0,1,2,13,+16
C. MartinC. MartinSF,30,4-8,2-4,0-0,1,3,4,1,1,0,1,0,10,+1
O. YurtsevenO. YurtsevenC,34,2-8,0-0,3-4,3,13,16,8,2,0,2,4,7,+23
K. LowryK. LowryPG,35,5-10,2-4,2-2,1,1,2,13,0,0,2,4,14,+28
M. StrusM. StrusSG,21,5-9,4-8,0-0,0,4,4,0,0,0,3,1,14,+13
C. SilvaC. SilvaPF,14,1-1,0-0,1-2,2,5,7,1,0,0,0,2,3,0
H. HighsmithH. HighsmithF,3,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
T. HerroT. HerroPG,34,12-20,3-4,6-6,0,5,5,3,3,1,4,3,33,+26
D. RobinsonD. RobinsonSG,29,9-17,8-16,1-1,1,3,4,1,0,0,0,2,27,+12
K. GuyK. GuySG,13,1-4,0-2,0-0,0,0,0,3,1,0,1,0,2,0
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,27,1-6,0-3,1-2,0,5,5,1,4,0,0,0,3,-15
M. BridgesM. BridgesSF,30,8-11,4-7,0-0,0,1,1,6,1,0,3,1,20,-24
D. AytonD. AytonC,32,4-5,0-0,4-4,1,7,8,1,0,1,0,1,12,-23
C. PaulC. PaulPG,32,3-9,1-1,2-3,0,2,2,7,1,0,4,3,9,-10
D. BookerD. BookerSG,33,5-15,3-5,13-13,0,4,4,3,2,0,5,4,26,-22
J. SmithJ. SmithPF,13,0-4,0-1,2-3,2,2,4,0,0,0,0,2,2,+6
I. WainrightI. WainrightF,5,0-0,0-0,0-0,0,1,1,0,2,0,1,0,0,+2
J. JacksonJ. JacksonF,9,2-2,1-1,0-0,1,1,2,0,0,0,0,0,5,+4
C. JohnsonC. JohnsonSF,32,4-13,3-10,4-4,0,5,5,2,0,0,0,0,15,-17
J. McGeeJ. McGeeC,6,0-1,0-0,0-0,0,1,1,0,0,0,1,1,0,-7
C. PayneC. PaynePG,21,3-13,2-6,0-0,2,0,2,4,0,0,1,2,8,-9
