NO,TOR,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,33,3-10,1-8,1-1,0,3,3,6,1,0,1,3,8,-5
B. IngramB. IngramSF,35,6-13,1-2,9-10,2,3,5,4,0,0,1,2,22,+4
H. JonesH. JonesSF,37,5-11,2-4,1-2,0,2,2,1,1,1,2,3,13,+10
J. ValanciunasJ. ValanciunasC,34,7-12,1-3,5-6,2,15,17,1,1,1,3,1,20,-3
D. GrahamD. GrahamPG,32,4-11,3-8,0-0,0,0,0,4,0,0,2,3,11,-12
G. ClarkG. ClarkF,16,2-3,1-2,0-0,1,2,3,0,0,0,2,1,5,-4
N. MarshallN. MarshallSF,4,1-2,0-1,0-0,0,0,0,0,1,0,1,2,2,-7
J. HayesJ. HayesC,19,0-1,0-0,3-4,1,2,3,0,0,1,0,0,3,-3
J. AlvaradoJ. AlvaradoPG,13,2-3,2-2,0-0,1,0,1,2,1,1,0,0,6,+5
N. Alexander-WalkerN. Alexander-WalkerSG,18,4-9,1-3,2-2,0,1,1,2,0,1,1,3,11,-5
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,43,8-18,3-5,10-10,2,8,10,7,2,0,2,2,29,+12
O. AnunobyO. AnunobySF,35,5-12,2-6,0-0,2,3,5,2,0,0,2,5,12,+6
S. BarnesS. BarnesSF,33,3-10,1-3,0-0,1,3,4,2,0,0,2,2,7,+4
K. BirchK. BirchC,21,2-4,0-0,2-3,2,2,4,1,1,0,1,5,6,-8
F. VanVleetF. VanVleetSG,39,11-27,8-17,2-2,2,2,4,4,2,0,2,0,32,-10
C. BoucherC. BoucherPF,28,2-5,0-2,2-2,4,4,8,1,2,1,1,2,6,-2
P. AchiuwaP. AchiuwaPF,27,3-6,0-1,0-0,2,7,9,0,1,2,1,2,6,+12
S. MykhailiukS. MykhailiukSG,14,2-3,0-0,3-3,0,2,2,1,0,0,1,2,7,+6
