MIN,HOU,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,31,10-14,0-0,1-3,6,13,19,4,2,2,2,1,21,+9
J. McDanielsJ. McDanielsPF,29,3-8,1-4,0-0,1,2,3,1,0,4,0,4,7,+8
A. EdwardsA. EdwardsSF,34,7-17,2-8,3-3,0,3,3,6,2,2,2,3,19,+22
K. TownsK. TownsC,33,15-25,4-6,6-8,6,3,9,7,1,0,2,2,40,+27
D. RussellD. RussellPG,33,8-14,5-9,1-1,0,5,5,10,1,0,1,3,22,+12
T. PrinceT. PrincePF,7,0-4,0-3,0-0,1,0,1,0,0,0,1,2,0,-1
N. KnightN. KnightF,2,0-0,0-0,2-2,0,1,1,0,0,0,1,1,2,+1
J. LaymanJ. LaymanSF,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+1
J. OkogieJ. OkogieSF,18,2-3,0-1,0-0,2,1,3,1,1,0,0,1,4,+10
N. ReidN. ReidC,12,1-5,0-2,0-0,2,3,5,1,0,2,2,3,2,-11
J. McLaughlinJ. McLaughlinPG,2,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,+1
M. BeasleyM. BeasleySG,20,4-10,3-7,2-2,0,2,2,1,0,0,0,1,13,0
J. NowellJ. NowellSG,18,5-7,0-1,1-2,0,5,5,5,3,0,0,1,11,+11
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,23,5-6,0-0,0-2,2,5,7,4,1,0,1,5,10,-19
C. WoodC. WoodC,28,8-16,4-6,2-4,3,5,8,3,0,2,0,2,22,-24
E. GordonE. GordonSG,27,5-11,1-7,2-2,0,1,1,3,0,1,2,0,13,-12
K. Porter Jr.K. Porter Jr.SG,26,3-10,1-6,2-4,1,5,6,8,1,0,3,3,9,-18
J. GreenJ. GreenSG,26,3-10,1-6,3-4,0,2,2,3,0,0,1,0,10,-18
K. Martin Jr.K. Martin Jr.F,27,4-10,1-4,4-5,1,6,7,2,0,1,1,0,13,+10
D. NwabaD. NwabaSF,17,3-6,0-0,3-4,1,4,5,0,0,1,0,3,9,-3
G. MathewsG. MathewsSG,31,5-13,4-10,0-1,0,3,3,2,1,1,0,2,14,-3
J. ChristopherJ. ChristopherSG,27,8-13,2-4,1-2,2,1,3,4,2,0,3,1,19,-6
D. NixD. NixSG,7,2-2,0-0,0-0,0,3,3,2,0,0,1,1,4,+3
