SA,BKN,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. Bates-DiopK. Bates-DiopSF,37,5-9,0-0,0-0,0,6,6,0,1,0,4,3,10,-12
J. PoeltlJ. PoeltlC,36,5-10,0-0,1-3,7,5,12,3,3,2,1,4,11,+7
D. MurrayD. MurrayPG,40,7-22,1-6,4-4,0,9,9,12,2,1,3,2,19,-4
L. Walker IVL. Walker IVSG,33,9-20,3-8,4-6,1,2,3,4,1,1,1,1,25,+6
J. PrimoJ. PrimoSG,39,4-16,2-7,2-2,0,1,1,3,0,1,3,1,12,-2
D. CacokD. CacokPF,16,4-5,0-0,0-0,1,5,6,1,2,2,0,3,8,+10
J. WieskampJ. WieskampSF,3,1-2,1-2,0-0,0,0,0,0,0,0,0,1,3,-1
J. LandaleJ. LandaleC,17,4-6,2-2,0-0,3,0,3,5,0,0,1,0,10,-9
B. ForbesB. ForbesSG,25,6-14,3-5,3-3,0,3,3,5,1,0,2,3,18,+5
T. JohnsonT. JohnsonG,19,1-3,1-2,0-0,0,1,1,0,2,1,0,1,3,-10
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,43,11-21,1-5,5-5,2,2,4,6,1,3,3,4,28,+4
N. ClaxtonN. ClaxtonPF,33,7-10,0-0,2-4,5,9,14,1,0,0,1,1,16,+9
D. Duke Jr.D. Duke Jr.SF,17,3-5,0-0,0-0,1,4,5,1,0,1,1,2,6,+12
P. MillsP. MillsPG,39,5-15,3-12,0-0,0,6,6,4,0,2,3,0,13,+10
J. HardenJ. HardenSG,44,9-18,2-5,6-7,0,7,7,12,1,1,6,3,26,+5
B. GriffinB. GriffinPF,8,1-2,0-1,2-2,0,1,1,1,0,0,0,1,4,-8
J. JohnsonJ. JohnsonPF,8,0-1,0-0,0-0,0,2,2,0,0,0,0,1,0,-2
K. EdwardsK. EdwardsSF,12,2-3,2-2,0-0,0,3,3,0,1,1,2,1,6,-6
D. SharpeD. SharpeC,11,3-8,0-0,1-1,5,1,6,0,1,0,1,3,7,+1
D. BembryD. BembrySG,19,2-4,0-0,0-0,0,1,1,0,3,0,0,1,4,-2
C. ThomasC. ThomasSG,30,4-11,0-3,3-3,0,6,6,1,1,0,4,1,11,-13
