CHI,DAL,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,33,9-16,0-1,2-4,0,4,4,8,0,1,1,3,20,-12
D. Jones Jr.D. Jones Jr.SF,24,3-7,1-4,2-2,3,5,8,0,1,0,0,2,9,-7
N. VucevicN. VucevicC,34,6-17,1-5,0-0,3,3,6,2,1,1,0,0,13,-12
L. BallL. BallPG,32,3-7,3-6,0-0,1,5,6,5,3,0,1,4,9,-18
Z. LaVineZ. LaVineSG,35,7-21,2-7,4-4,0,2,2,2,2,0,4,3,20,-11
A. McKinnieA. McKinnieF,2,1-2,0-1,0-0,0,0,0,0,0,0,0,0,2,+4
T. Brown Jr.T. Brown Jr.SF,13,1-3,1-2,0-0,1,1,2,0,1,0,0,0,3,+6
T. BradleyT. BradleyC,11,1-2,0-0,0-0,0,5,5,0,0,1,0,1,2,+2
C. WhiteC. WhitePG,27,5-9,1-4,2-3,0,4,4,2,0,0,0,0,13,-17
D. DotsonD. DotsonPG,2,1-1,0-0,0-0,0,1,1,0,0,0,1,0,2,+4
M. ThomasM. ThomasSG,2,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,+4
A. DosunmuA. DosunmuSG,23,2-4,2-3,0-0,0,1,1,2,0,0,0,2,6,-13
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,30,4-7,4-7,0-0,1,1,2,2,0,1,1,1,12,+9
M. KleberM. KleberPF,30,6-11,6-9,0-0,0,4,4,2,0,1,0,3,18,+14
D. PowellD. PowellC,25,3-5,0-1,4-4,1,3,4,2,0,0,0,1,10,+16
J. BrunsonJ. BrunsonPG,28,8-10,1-2,0-0,1,3,4,4,1,0,1,0,17,+3
L. DoncicL. DoncicPG,35,8-23,2-6,4-4,0,14,14,14,0,0,4,1,22,+26
T. Hardaway Jr.T. Hardaway Jr.SF,28,4-10,1-5,0-0,0,6,6,1,3,0,1,1,9,+8
R. BullockR. BullockSF,18,2-4,1-3,0-0,0,2,2,2,0,0,0,1,5,+13
S. BrownS. BrownSF,10,0-3,0-1,0-0,1,1,2,0,0,0,0,0,0,-12
M. ChrissM. ChrissSF,8,1-2,0-1,0-0,1,2,3,0,0,0,0,3,2,-11
M. BrownM. BrownC,3,0-2,0-0,0-0,1,0,1,0,0,0,1,0,0,-1
F. NtilikinaF. NtilikinaPG,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
J. GreenJ. GreenSG,22,8-10,1-1,1-1,1,5,6,1,0,0,1,3,18,+9
