SAC,POR,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Bagley IIIM. Bagley IIIPF,21,2-8,0-1,2-2,1,3,4,0,0,1,2,1,6,-5
H. BarnesH. BarnesSF,31,5-10,2-5,1-1,2,5,7,2,1,1,1,3,13,-15
A. LenA. LenC,23,7-13,0-0,2-2,3,7,10,0,0,0,0,2,16,-5
D. FoxD. FoxPG,36,6-14,1-4,1-4,0,5,5,2,0,1,3,2,14,-12
T. HaliburtonT. HaliburtonPG,35,6-11,2-6,3-4,0,1,1,9,2,1,2,1,17,-8
C. MetuC. MetuPF,13,1-2,0-1,2-2,0,3,3,1,1,0,0,0,4,0
R. Woodard IIR. Woodard IISF,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
T. ThompsonT. ThompsonC,15,0-2,0-0,1-2,1,2,3,0,1,1,0,2,1,-9
D. MitchellD. MitchellPG,21,1-7,0-3,1-2,0,2,2,1,1,0,0,1,3,-10
B. HieldB. HieldSG,29,4-13,2-8,0-0,1,6,7,2,2,0,2,3,10,-15
T. DavisT. DavisSG,13,0-3,0-3,2-2,0,3,3,3,0,0,2,2,2,0
J. RamseyJ. RamseySG,1,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,+2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,35,2-8,1-4,3-3,0,6,6,1,3,3,2,3,8,+14
N. LittleN. LittleSF,34,4-13,3-8,2-2,0,3,3,2,0,0,0,3,13,+13
J. NurkicJ. NurkicC,38,6-12,1-2,1-3,3,13,16,9,2,1,5,3,14,+14
B. McLemoreB. McLemoreSG,25,5-12,3-8,0-0,0,2,2,2,0,0,1,5,13,+8
A. SimonsA. SimonsSG,35,10-17,7-11,4-4,1,2,3,6,0,0,4,3,31,+8
T. WatfordT. WatfordPF,12,2-4,0-0,0-0,1,5,6,1,0,0,1,1,4,+3
G. Brown IIIG. Brown IIIPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
T. SnellT. SnellSF,12,1-3,1-2,0-0,0,0,0,0,0,0,0,1,3,+4
C. ZellerC. ZellerC,10,3-6,0-0,2-2,2,2,4,1,0,0,1,2,8,+1
D. Smith Jr.D. Smith Jr.PG,19,2-9,0-3,0-1,1,2,3,4,1,0,1,1,4,+13
C. EllebyC. EllebySG,19,2-4,1-2,0-0,2,3,5,0,0,1,1,1,5,-1
