MIL,CHA,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,35,10-18,1-5,5-8,1,12,13,8,1,1,6,2,26,+6
K. MiddletonK. MiddletonSF,37,10-19,3-7,4-4,2,5,7,11,3,0,7,3,27,-11
J. NworaJ. NworaSF,29,7-10,4-7,0-0,1,2,3,1,2,0,1,1,18,+20
B. PortisB. PortisC,35,2-7,0-2,1-2,2,9,11,2,0,0,2,5,5,+11
W. MatthewsW. MatthewsSG,29,5-7,3-4,0-0,1,3,4,2,1,0,0,2,13,+8
S. MamukelashviliS. MamukelashviliPF,11,1-4,0-1,0-0,0,1,1,0,0,1,1,0,2,-14
L. GallowayL. GallowaySG,12,0-2,0-2,0-0,0,1,1,0,0,0,1,1,0,-15
P. ConnaughtonP. ConnaughtonSG,23,0-6,0-5,0-0,0,2,2,0,0,0,0,0,0,-15
R. HoodR. HoodSG,13,2-3,2-3,0-0,0,2,2,1,0,0,0,0,6,+12
D. DiVincenzoD. DiVincenzoSG,16,0-8,0-7,2-2,0,4,4,0,0,0,2,3,2,-22
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,36,6-12,2-6,0-0,1,3,4,3,1,1,2,1,14,+1
M. BridgesM. BridgesSF,41,7-19,0-3,3-4,2,9,11,2,1,1,0,3,17,+15
M. PlumleeM. PlumleeC,22,3-7,0-0,0-0,5,4,9,3,1,0,1,3,6,-9
L. BallL. BallPG,35,8-19,4-12,3-3,3,2,5,3,0,0,4,0,23,-2
T. RozierT. RozierSG,40,8-17,4-11,7-8,1,6,7,4,2,0,1,3,27,+15
J. McDanielsJ. McDanielsPF,10,1-7,1-4,0-0,0,2,2,1,0,0,1,0,3,-14
P.J. WashingtonP.J. WashingtonPF,27,2-10,0-5,1-1,1,6,7,5,4,1,3,5,5,+6
C. MartinC. MartinSF,28,3-5,2-3,0-0,0,3,3,2,3,0,2,1,8,+8
