PHX,TOR,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,35,7-14,5-11,0-0,0,5,5,3,2,0,2,0,19,+12
M. BridgesM. BridgesSF,41,5-12,1-6,1-1,0,3,3,1,1,0,2,2,12,-4
D. AytonD. AytonC,30,5-7,0-0,6-6,3,6,9,0,0,1,2,4,16,+7
C. PaulC. PaulPG,33,6-11,1-3,2-2,0,2,2,12,5,0,2,3,15,+16
D. BookerD. BookerSG,36,4-13,2-7,6-8,1,4,5,3,1,0,3,6,16,-1
J. SmithJ. SmithPF,18,3-6,1-2,0-0,3,2,5,1,0,1,3,4,7,+1
J. McGeeJ. McGeeC,14,2-3,0-0,0-2,1,2,3,0,1,0,1,1,4,-11
B. BiyomboB. BiyomboC,5,0-1,0-0,0-0,2,3,5,0,0,0,2,1,0,+6
C. PayneC. PaynePG,15,2-5,0-1,0-0,0,0,0,3,0,0,2,2,4,-12
L. ShametL. ShametSG,14,1-2,1-2,3-3,0,2,2,2,0,0,1,0,6,+6
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,39,10-23,0-5,2-4,0,7,7,7,3,0,4,6,22,+4
Y. WatanabeY. WatanabeSF,15,0-4,0-2,0-0,0,1,1,0,1,0,1,0,0,-9
O. AnunobyO. AnunobySF,39,9-20,4-13,3-6,1,1,2,1,1,0,2,3,25,-3
K. BirchK. BirchC,26,2-4,0-1,2-2,4,2,6,2,1,0,1,0,6,+3
F. VanVleetF. VanVleetSG,44,7-18,4-10,3-5,0,2,2,5,2,0,3,5,21,-9
C. BoucherC. BoucherPF,37,4-9,0-3,5-8,9,7,16,0,0,3,2,3,13,-3
P. AchiuwaP. AchiuwaPF,22,3-7,0-2,0-0,2,4,6,0,2,0,0,3,6,-7
J. ChampagnieJ. ChampagnieSF,10,1-3,0-1,0-0,5,0,5,0,1,0,0,0,2,0
S. MykhailiukS. MykhailiukSG,7,0-1,0-0,0-0,1,1,2,0,0,0,1,0,0,+4
