GS,MEM,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. WigginsA. WigginsSF,34,5-12,3-6,0-0,0,4,4,2,0,0,4,3,13,-4
J. Toscano-AndersonJ. Toscano-AndersonSF,7,0-0,0-0,0-0,0,2,2,0,0,0,3,1,0,-8
K. LooneyK. LooneyC,18,1-3,0-0,4-4,2,4,6,1,1,0,1,2,6,-4
S. CurryS. CurryPG,39,8-21,2-9,9-10,1,9,10,10,2,0,3,3,27,-1
K. ThompsonK. ThompsonSG,20,5-13,2-5,2-2,0,3,3,3,0,1,3,1,14,+17
N. BjelicaN. BjelicaPF,12,2-3,2-3,1-2,0,4,4,1,0,0,0,0,7,-2
A. IguodalaA. IguodalaF,21,0-2,0-1,0-0,0,3,3,2,1,1,0,3,0,-12
O. Porter Jr.O. Porter Jr.SF,28,3-5,1-2,2-4,0,6,6,2,1,1,1,1,9,-7
D. LeeD. LeeSG,9,1-2,1-1,2-2,0,0,0,1,0,0,0,0,5,0
G. Payton IIG. Payton IISG,23,6-8,1-2,0-0,1,4,5,0,3,0,0,5,13,+9
J. PooleJ. PooleSG,22,3-11,1-6,5-5,0,1,1,2,0,2,1,0,12,-17
M. MoodyM. MoodySG,7,1-2,0-1,0-0,0,1,1,1,0,0,0,0,2,-11
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,22,5-13,1-4,2-2,2,9,11,0,3,3,2,4,13,+16
K. AndersonK. AndersonSF,24,4-8,0-0,0-0,3,1,4,2,3,1,2,1,8,+3
J. MorantJ. MorantPG,37,11-23,1-4,6-8,0,5,5,8,0,2,2,1,29,-1
D. BaneD. BaneSG,32,3-14,3-8,2-3,1,2,3,4,0,0,3,2,11,+8
Z. WilliamsZ. WilliamsSG,30,6-12,3-7,2-2,0,1,1,2,0,0,1,3,17,+8
B. ClarkeB. ClarkePF,26,6-9,0-0,2-3,3,6,9,1,1,2,0,2,14,-6
X. TillmanX. TillmanC,16,1-6,0-2,0-0,1,5,6,1,1,0,0,1,2,+1
T. JonesT. JonesPG,23,6-8,5-5,0-0,1,5,6,8,2,0,1,0,17,+20
J. KoncharJ. KoncharSG,17,1-1,1-1,0-0,0,3,3,2,0,0,0,0,3,-2
D. MeltonD. MeltonSG,12,1-6,0-3,0-0,0,1,1,2,1,0,0,4,2,-7
