MIN,NO,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,26,3-6,0-0,2-4,2,3,5,2,3,0,1,6,8,-13
A. EdwardsA. EdwardsSF,37,10-21,6-12,2-2,2,2,4,5,1,0,3,3,28,-2
K. TownsK. TownsC,42,9-16,1-4,7-11,3,5,8,5,3,1,3,3,26,-2
P. BeverleyP. BeverleyPG,21,3-6,0-1,4-4,0,3,3,2,3,1,2,0,10,-18
D. RussellD. RussellPG,34,6-15,4-10,2-2,0,1,1,10,1,0,2,4,18,+11
T. PrinceT. PrincePF,8,2-2,1-1,0-1,0,0,0,1,0,1,0,1,5,+2
J. McDanielsJ. McDanielsPF,28,2-6,0-2,5-5,1,5,6,2,0,0,2,2,9,+2
J. OkogieJ. OkogieSF,7,0-1,0-0,0-0,0,0,0,0,0,1,0,1,0,-6
N. ReidN. ReidC,6,1-3,0-1,0-0,0,1,1,0,0,0,0,2,2,+1
M. BeasleyM. BeasleySG,30,6-10,6-8,0-0,1,3,4,0,0,0,0,2,18,+12
J. NowellJ. NowellSG,2,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,-2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,37,11-19,6-7,5-5,0,4,4,9,1,1,5,3,33,+2
H. JonesH. JonesSF,25,4-6,2-2,4-4,0,0,0,1,0,0,0,4,14,-8
J. ValanciunasJ. ValanciunasC,28,3-7,0-0,7-9,3,9,12,5,0,0,4,3,13,+8
D. GrahamD. GrahamPG,32,3-9,1-7,4-5,2,2,4,4,1,0,2,0,11,+14
J. HartJ. HartSG,36,8-14,1-4,4-6,3,6,9,5,1,0,3,4,21,-1
G. ClarkG. ClarkF,6,2-2,2-2,0-0,0,1,1,0,0,0,0,0,6,-6
G. TempleG. TempleSF,18,2-6,1-5,0-0,0,4,4,0,0,0,1,2,5,-2
J. HayesJ. HayesC,19,5-5,0-0,3-5,0,1,1,0,1,0,1,4,13,0
J. AlvaradoJ. AlvaradoPG,12,1-3,1-3,0-0,1,0,1,3,1,0,0,4,3,+2
N. Alexander-WalkerN. Alexander-WalkerSG,27,3-5,2-3,1-3,0,2,2,6,1,0,4,2,9,+6
