DEN,LAC,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Ja. GreenJa. GreenPF,18,0-2,0-1,0-0,0,3,3,1,1,1,0,1,0,+15
A. GordonA. GordonPF,35,11-16,1-4,7-7,2,10,12,1,0,0,4,4,30,+6
N. JokicN. JokicC,37,9-14,1-3,2-2,5,8,13,8,1,0,5,2,21,+6
M. MorrisM. MorrisPG,34,5-11,1-6,0-0,0,3,3,5,1,0,3,1,11,+6
A. RiversA. RiversSG,30,0-4,0-4,4-6,1,4,5,2,0,0,2,4,4,+13
Je. GreenJe. GreenPF,21,5-16,0-4,2-3,3,1,4,0,0,0,3,0,12,-13
Z. NnajiZ. NnajiPF,11,2-4,1-1,0-0,1,0,1,0,1,0,0,1,5,-8
J. Ennis IIIJ. Ennis IIIF,4,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-8
F. CampazzoF. CampazzoPG,28,0-6,0-5,2-2,0,5,5,5,0,1,1,2,2,-19
B. HylandB. HylandPG,8,0-5,0-3,0-0,0,3,3,1,0,0,0,2,0,0
D. ReedD. ReedSG,14,0-2,0-2,0-0,1,6,7,1,0,0,0,1,0,-8
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,26,2-6,2-5,0-0,0,4,4,1,1,0,1,5,6,+9
M. Morris Sr.M. Morris Sr.SF,35,5-15,1-5,1-3,0,2,2,1,1,2,1,4,12,-2
I. ZubacI. ZubacC,10,1-2,0-0,0-0,0,0,0,0,0,0,1,4,2,-20
R. JacksonR. JacksonPG,31,5-15,1-6,2-2,1,2,3,4,2,0,2,5,13,-22
A. CoffeyA. CoffeySG,43,6-11,3-7,3-3,0,5,5,7,4,0,1,1,18,+6
S. IbakaS. IbakaC,22,2-7,0-3,0-0,0,9,9,0,1,1,0,1,4,+3
E. BledsoeE. BledsoeSG,26,5-13,1-3,0-0,1,2,3,9,3,0,2,1,11,+28
T. MannT. MannSG,28,5-11,2-5,1-2,1,1,2,1,0,1,1,1,13,+9
B. Boston Jr.B. Boston Jr.SG,20,3-4,0-0,2-2,0,3,3,0,0,0,0,0,8,-1
