CHA,PHI,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,36,13-16,4-4,0-0,0,4,4,7,3,0,2,2,30,+10
M. BridgesM. BridgesSF,40,9-20,3-9,0-0,1,7,8,2,1,2,3,4,21,+8
M. PlumleeM. PlumleeC,26,3-5,0-0,0-0,0,4,4,3,0,0,0,5,6,+18
L. BallL. BallPG,36,5-16,0-8,3-3,0,7,7,8,1,0,1,0,13,+18
T. RozierT. RozierSG,41,10-18,2-6,0-1,1,3,4,4,2,0,0,3,22,+13
J. McDanielsJ. McDanielsPF,17,2-5,0-2,0-0,2,2,4,1,0,0,1,1,4,-8
P.J. WashingtonP.J. WashingtonPF,19,1-6,0-4,0-0,3,5,8,2,1,1,2,5,2,0
C. MartinC. MartinSF,25,3-3,1-1,4-4,0,3,3,2,1,0,1,1,11,-4
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,37,6-14,2-5,3-4,2,6,8,5,1,0,3,2,17,-13
J. EmbiidJ. EmbiidC,33,10-17,1-3,10-14,1,5,6,3,0,1,7,3,31,-16
T. MaxeyT. MaxeyPG,38,4-13,2-4,0-0,0,3,3,3,0,0,0,0,10,-16
S. CurryS. CurrySG,34,4-7,2-4,0-0,0,3,3,3,1,0,3,1,10,-12
M. ThybulleM. ThybulleSG,16,0-2,0-2,0-0,0,3,3,0,0,1,0,0,0,-14
D. GreenD. GreenSF,10,2-5,2-4,1-2,0,2,2,0,0,1,1,0,7,+6
G. NiangG. NiangSF,15,1-3,1-3,0-0,0,0,0,1,0,0,1,5,3,-5
P. ReedP. ReedSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
A. DrummondA. DrummondC,20,1-2,0-0,0-4,0,8,8,1,1,0,1,1,2,+4
C. BasseyC. BasseyC,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
F. KorkmazF. KorkmazSG,27,4-7,2-4,4-4,0,0,0,1,0,0,0,1,14,-1
I. JoeI. JoeSG,7,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,+8
M. PowellM. PowellG,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
C. Brown Jr.C. Brown Jr.G,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
