ORL,WSH,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. OkekeC. OkekePF,28,3-9,2-6,2-2,2,2,4,0,2,1,0,1,10,-10
F. WagnerF. WagnerSF,32,6-16,0-2,2-2,3,3,6,10,1,0,0,1,14,-12
R. LopezR. LopezC,31,7-14,0-0,2-3,7,4,11,2,0,1,0,3,16,+5
C. AnthonyC. AnthonyPG,33,6-17,2-8,5-6,3,8,11,9,0,1,4,5,19,-7
G. HarrisG. HarrisSG,35,6-15,2-8,0-0,0,0,0,1,2,0,0,0,14,-10
A. SchofieldA. SchofieldSF,19,3-5,2-3,0-0,3,4,7,1,0,0,1,0,8,-3
M. WagnerM. WagnerC,10,3-4,0-1,0-0,0,2,2,1,0,0,1,2,6,-6
R.J. HamptonR.J. HamptonPG,17,1-4,0-1,0-0,0,4,4,4,1,1,2,1,2,+2
T. RossT. RossSG,34,6-15,3-6,2-3,0,4,4,3,0,2,1,3,17,+11
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,35,7-11,2-3,3-4,1,9,10,9,0,1,5,2,19,+3
C. KispertC. KispertSF,29,4-6,3-5,0-0,0,3,3,0,0,0,1,1,11,+6
D. GaffordD. GaffordC,16,4-4,0-0,0-0,1,2,3,1,0,2,0,1,8,+7
S. DinwiddieS. DinwiddiePG,32,6-14,1-5,4-5,0,2,2,4,2,0,0,4,17,+12
K. Caldwell-PopeK. Caldwell-PopeSG,31,4-11,3-7,1-2,2,8,10,4,1,0,1,2,12,+1
R. HachimuraR. HachimuraPF,12,1-5,0-2,1-1,0,1,1,0,0,0,1,0,3,+1
D. BertansD. BertansSF,13,0-3,0-3,0-0,0,1,1,0,0,1,0,0,0,0
D. AvdijaD. AvdijaSF,19,2-4,0-1,1-1,0,2,2,5,2,0,1,1,5,+4
M. HarrellM. HarrellC,21,6-8,0-0,4-5,2,6,8,1,0,0,0,0,16,+5
T. BryantT. BryantC,12,2-2,1-1,1-2,0,1,1,1,0,0,0,1,6,-6
R. NetoR. NetoPG,21,7-14,0-4,1-1,0,1,1,1,1,0,1,2,15,-3
