DAL,NY,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,34,2-8,0-4,3-4,0,3,3,0,1,0,1,3,7,-29
M. KleberM. KleberPF,37,3-10,3-8,0-0,1,4,5,0,0,1,2,3,9,-21
D. PowellD. PowellC,17,2-2,0-0,0-1,1,1,2,0,0,1,2,2,4,-20
J. BrunsonJ. BrunsonPG,37,6-12,1-3,1-1,1,6,7,6,0,0,1,1,14,-19
L. DoncicL. DoncicPG,36,8-23,1-9,4-6,1,10,11,5,2,0,6,2,21,-24
T. Hardaway Jr.T. Hardaway Jr.SF,29,5-11,1-7,2-2,0,1,1,3,2,0,0,4,13,-4
R. BullockR. BullockSF,19,1-4,1-4,0-0,0,2,2,1,0,0,0,0,3,+2
S. BrownS. BrownSF,6,2-3,0-1,1-1,0,3,3,0,0,0,0,1,5,-1
M. ChrissM. ChrissSF,7,2-2,1-1,1-2,0,0,0,1,0,0,1,1,6,+2
M. BrownM. BrownC,3,0-2,0-0,0-0,1,1,2,0,0,0,0,0,0,0
F. NtilikinaF. NtilikinaPG,1,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,+1
J. GreenJ. GreenSG,11,0-0,0-0,1-2,0,2,2,0,1,0,0,1,1,-3
T. PinsonT. PinsonG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,37,6-17,1-3,4-6,1,11,12,8,0,0,5,2,17,+29
M. RobinsonM. RobinsonC,26,9-10,0-0,1-1,4,6,10,0,1,2,1,3,19,+22
A. BurksA. BurksSG,35,2-9,2-3,4-4,1,7,8,6,2,0,0,3,10,+26
E. FournierE. FournierSG,33,5-9,2-4,1-2,1,4,5,3,0,0,0,1,13,+27
R. BarrettR. BarrettSG,41,13-22,4-7,2-2,0,7,7,2,0,0,2,1,32,+22
J. SimsJ. SimsPF,1,0-2,0-0,0-0,1,0,1,0,0,0,0,1,0,-1
O. ToppinO. ToppinPF,11,1-3,0-0,0-0,0,0,0,0,0,0,0,0,2,-6
K. Knox IIK. Knox IIF,1,0-1,0-1,0-0,1,0,1,0,0,0,0,0,0,-1
N. NoelN. NoelC,21,2-4,0-1,0-0,2,4,6,0,1,2,0,3,4,+2
M. McBrideM. McBridePG,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-1
I. QuickleyI. QuickleySG,14,1-7,0-2,0-0,0,2,2,3,0,0,0,4,2,-4
Q. GrimesQ. GrimesSG,19,3-6,3-6,0-0,0,2,2,1,1,0,1,3,9,0
