BKN,CHI,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,30,7-10,3-4,10-11,0,2,2,9,2,0,1,2,27,+23
K. EdwardsK. EdwardsSF,29,4-8,1-4,0-0,1,0,1,1,3,1,1,4,9,+8
D. SharpeD. SharpeC,22,10-14,0-0,0-0,3,4,7,0,0,1,2,6,20,-5
K. IrvingK. IrvingPG,25,4-10,1-3,0-0,0,4,4,3,0,0,1,0,9,+10
J. HardenJ. HardenSG,33,6-13,5-8,8-8,1,6,7,16,1,1,2,0,25,+24
B. GriffinB. GriffinPF,20,3-5,0-1,3-6,1,4,5,2,1,0,0,0,9,+34
J. JohnsonJ. JohnsonPF,5,1-2,0-1,0-0,0,1,1,0,0,0,1,2,2,-1
B. BrownB. BrownSF,6,1-1,0-0,0-0,0,2,2,0,0,0,0,1,2,-9
D. Duke Jr.D. Duke Jr.SF,7,1-4,1-2,0-0,0,2,2,1,0,0,0,1,3,-6
P. MillsP. MillsPG,22,7-10,6-8,1-2,0,3,3,1,0,0,1,2,21,+33
J. CarterJ. CarterPG,6,2-3,0-0,0-0,0,0,0,0,1,0,0,1,4,-9
D. BembryD. BembrySG,20,2-3,0-0,1-1,1,4,5,1,3,1,0,2,5,+35
C. ThomasC. ThomasSG,16,1-4,0-1,0-0,0,2,2,1,0,0,0,0,2,-7
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,32,7-16,0-0,5-7,2,2,4,1,1,0,2,1,19,-24
D. Jones Jr.D. Jones Jr.SF,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0
N. VucevicN. VucevicC,31,5-13,0-3,4-4,2,3,5,3,0,1,1,1,14,-22
L. BallL. BallPG,32,3-6,2-4,1-2,2,5,7,7,1,1,1,2,9,-14
Z. LaVineZ. LaVineSG,33,8-13,2-4,4-4,0,1,1,6,1,1,5,1,22,-19
A. McKinnieA. McKinnieF,20,2-10,1-5,0-0,4,1,5,0,0,0,3,5,5,-17
T. Brown Jr.T. Brown Jr.SF,16,3-3,2-2,0-0,0,4,4,1,0,0,0,4,8,0
T. BradleyT. BradleyC,14,0-1,0-0,2-2,0,5,5,0,0,2,0,0,2,-10
M. SimonovicM. SimonovicC,3,1-2,0-0,2-2,0,0,0,0,0,0,0,0,4,+6
C. WhiteC. WhitePG,25,6-10,4-8,0-0,0,2,2,0,2,0,1,3,16,-21
D. DotsonD. DotsonPG,4,0-0,0-0,0-0,0,1,1,3,0,0,0,0,0,+10
M. ThomasM. ThomasSG,7,2-4,0-2,4-6,0,0,0,0,0,0,1,0,8,+6
A. DosunmuA. DosunmuSG,23,1-3,0-2,3-4,0,1,1,1,0,1,2,3,5,-25
