LAL,SAC,2
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. JamesL. JamesSF,39,13-29,3-12,5-10,1,6,7,6,0,1,1,2,34,-12
T. ArizaT. ArizaSF,25,1-4,0-2,0-0,2,3,5,3,3,0,1,2,2,-14
R. WestbrookR. WestbrookPG,37,2-14,0-5,4-5,3,9,12,6,1,0,1,3,8,-7
A. BradleyA. BradleyPG,27,2-9,0-4,2-2,2,1,3,4,1,0,0,2,6,-12
M. MonkM. MonkSG,29,7-13,6-9,2-2,1,6,7,3,0,2,2,4,22,-14
S. JohnsonS. JohnsonPF,12,3-5,2-3,0-0,0,0,0,1,0,0,1,1,8,+3
D. HowardD. HowardC,15,3-3,0-0,2-4,4,3,7,1,0,0,0,1,8,+9
W. EllingtonW. EllingtonSG,9,0-2,0-2,0-0,0,0,0,0,1,0,0,0,0,+12
A. ReavesA. ReavesSG,28,7-10,4-7,1-1,2,1,3,0,0,0,0,1,19,0
T. Horton-TuckerT. Horton-TuckerSG,19,4-9,1-3,0-0,0,1,1,1,0,0,3,3,9,-10
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,22,5-8,2-4,2-2,0,7,7,4,2,2,1,2,14,+16
M. Bagley IIIM. Bagley IIIPF,30,7-12,1-2,1-2,1,8,9,1,1,0,0,4,16,+16
H. BarnesH. BarnesSF,38,9-14,3-6,2-2,1,6,7,2,0,1,0,0,23,+12
D. FoxD. FoxPG,37,11-21,0-2,7-9,1,3,4,4,0,0,3,2,29,+7
T. HaliburtonT. HaliburtonPG,38,5-10,2-5,2-2,0,3,3,10,2,1,3,1,14,+8
M. HarklessM. HarklessSF,6,1-2,0-1,0-0,0,2,2,0,0,1,0,2,2,-6
A. LenA. LenC,18,3-4,0-0,2-2,2,1,3,3,1,0,3,3,8,-10
N. QuetaN. QuetaC,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
D. MitchellD. MitchellPG,18,3-7,0-3,0-0,2,3,5,2,2,2,1,2,6,+6
B. HieldB. HieldSG,29,4-8,2-5,0-0,1,3,4,1,0,0,1,2,10,-1
T. DavisT. DavisSG,5,1-2,1-2,0-0,0,1,1,1,0,0,0,2,3,0
