TOR,DET,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,41,8-17,1-2,6-9,3,8,11,4,0,1,1,5,23,-12
O. AnunobyO. AnunobySF,37,5-14,3-7,3-4,1,2,3,2,0,0,5,1,16,-8
S. BarnesS. BarnesSF,33,4-13,0-4,0-0,3,4,7,2,1,0,1,3,8,-8
K. BirchK. BirchC,4,0-1,0-0,0-0,1,0,1,0,0,0,0,0,0,-6
F. VanVleetF. VanVleetSG,42,6-21,6-14,6-8,2,3,5,10,2,0,0,2,24,-12
C. BoucherC. BoucherPF,25,3-7,1-4,3-3,2,4,6,0,1,0,1,3,10,-7
P. AchiuwaP. AchiuwaPF,25,2-7,0-1,0-0,3,5,8,0,0,1,1,3,4,-3
Y. WatanabeY. WatanabeSF,8,0-3,0-3,2-2,0,1,1,0,0,2,1,2,2,-8
J. ChampagnieJ. ChampagnieSF,12,0-1,0-1,0-0,1,2,3,0,0,0,0,4,0,-2
M. FlynnM. FlynnPG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
D. BantonD. BantonPG,6,0-1,0-0,0-0,0,1,1,0,0,0,1,0,0,-4
S. MykhailiukS. MykhailiukSG,7,0-2,0-2,0-0,0,0,0,0,1,0,0,1,0,-7
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
S. BeyS. BeySF,33,5-11,3-7,2-2,0,4,4,2,0,0,0,3,15,+12
I. StewartI. StewartC,15,0-0,0-0,1-2,0,1,1,1,0,2,3,4,1,+4
C. CunninghamC. CunninghamPG,33,8-15,1-4,1-1,0,7,7,5,1,0,2,1,18,+12
K. HayesK. HayesPG,26,2-5,0-1,1-2,2,4,6,5,2,1,1,4,5,+11
H. DialloH. DialloSG,26,9-16,0-1,0-0,3,3,6,0,2,1,1,4,18,+23
T. LylesT. LylesPF,33,6-10,0-2,9-10,2,5,7,1,2,2,0,0,21,+12
C. JosephC. JosephPG,26,3-7,2-4,1-1,2,2,4,4,0,0,1,4,9,-1
S. LeeS. LeePG,13,0-4,0-0,3-4,0,2,2,3,0,0,0,1,3,+4
J. JacksonJ. JacksonSG,21,5-12,2-7,1-1,0,4,4,1,0,0,0,1,13,-1
C. StanleyC. StanleyG,14,0-1,0-1,0-0,0,2,2,0,0,0,0,3,0,+4
