PHX,IND,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,31,2-6,2-2,2-2,0,11,11,1,1,1,1,4,8,+14
M. BridgesM. BridgesSF,30,1-6,0-2,2-2,0,4,4,2,0,0,1,0,4,+2
D. AytonD. AytonC,30,12-18,1-1,2-2,5,7,12,1,2,1,3,4,27,+2
C. PaulC. PaulPG,33,5-10,0-2,2-2,0,3,3,9,2,1,4,2,12,+15
D. BookerD. BookerSG,35,11-25,6-13,7-8,2,2,4,3,0,1,2,2,35,+7
J. SmithJ. SmithPF,17,0-4,0-2,0-0,3,9,12,0,1,1,2,1,0,+4
I. WainrightI. WainrightF,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
J. McGeeJ. McGeeC,17,2-5,0-0,3-4,2,2,4,3,1,1,1,1,7,+16
E. PaytonE. PaytonPG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
C. PayneC. PaynePG,24,5-7,1-1,0-0,0,1,1,5,0,0,0,3,11,+19
L. ShametL. ShametSG,20,2-6,1-4,3-3,0,0,0,0,1,0,0,1,8,+11
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,37,4-10,1-3,5-6,0,14,14,6,1,0,2,2,14,-6
J. HolidayJ. HolidaySF,37,9-16,7-14,0-0,0,2,2,4,2,3,0,2,25,-6
M. TurnerM. TurnerC,28,2-9,0-3,1-2,3,4,7,0,3,2,0,2,5,-19
C. LeVertC. LeVertSG,39,8-19,2-6,2-2,3,2,5,9,1,0,3,2,20,-10
K. SykesK. SykesG,18,2-6,0-1,0-0,1,1,2,0,0,0,1,2,4,-17
I. JacksonI. JacksonF,1,0-0,0-0,0-0,0,1,1,0,0,1,0,0,0,0
T. CraigT. CraigSF,25,3-5,2-3,0-0,0,2,2,0,0,1,1,3,8,-9
O. BrissettO. BrissettSF,16,3-8,0-4,0-0,1,2,3,0,0,0,2,2,6,-16
G. BitadzeG. BitadzeC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. Washington Jr.D. Washington Jr.PG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
C. DuarteC. DuarteSG,25,2-9,0-5,3-6,1,2,3,1,2,0,2,1,7,+7
L. StephensonL. StephensonG,10,1-6,1-4,2-2,0,3,3,0,0,0,1,4,5,-11
