DAL,MEM,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,32,6-12,1-5,0-0,1,2,3,2,1,0,1,1,13,+12
M. KleberM. KleberPF,27,1-3,1-2,0-0,0,7,7,1,0,1,1,4,3,+19
D. PowellD. PowellC,32,6-6,0-0,1-3,0,5,5,3,0,0,0,1,13,+18
J. BrunsonJ. BrunsonPG,32,7-13,0-0,1-1,0,5,5,9,5,0,1,1,15,+12
L. DoncicL. DoncicPG,32,12-22,0-6,3-4,1,12,13,10,0,0,6,2,27,+12
T. Hardaway Jr.T. Hardaway Jr.SF,26,5-14,3-9,3-4,0,2,2,2,1,0,0,2,16,+19
R. BullockR. BullockSF,21,4-8,2-5,0-0,4,4,8,0,0,0,1,1,10,+31
S. BrownS. BrownSF,6,0-2,0-1,0-0,0,1,1,0,0,0,0,1,0,-3
M. ChrissM. ChrissSF,16,6-7,1-2,2-4,1,5,6,1,0,0,1,2,15,+9
T. BurkeT. BurkePG,3,0-1,0-1,0-0,0,1,1,2,1,0,0,2,0,0
F. NtilikinaF. NtilikinaPG,3,0-1,0-0,0-0,1,0,1,0,0,0,2,0,0,0
J. GreenJ. GreenSG,10,0-2,0-1,0-0,0,0,0,0,0,0,0,2,0,+6
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. ClarkeB. ClarkePF,20,3-5,2-2,1-1,0,1,1,1,1,2,1,1,9,-13
J. Jackson Jr.J. Jackson Jr.PF,27,4-14,0-6,0-0,1,7,8,0,1,1,2,2,8,-15
J. MorantJ. MorantPG,32,8-15,1-4,2-3,0,5,5,8,2,0,8,1,19,-4
D. BaneD. BaneSG,29,7-15,1-4,1-1,1,5,6,0,0,1,0,2,16,-18
Z. WilliamsZ. WilliamsSG,29,3-9,1-6,0-0,0,3,3,2,0,0,0,2,7,-11
S. AldamaS. AldamaPF,5,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,-3
K. AndersonK. AndersonSF,19,4-10,2-2,2-2,1,4,5,1,0,0,0,0,12,-6
S. AdamsS. AdamsC,21,3-4,0-0,0-0,4,2,6,3,2,2,1,3,6,-14
X. TillmanX. TillmanC,5,1-1,0-0,0-0,0,1,1,0,0,0,0,1,2,-3
T. JonesT. JonesPG,14,0-4,0-2,0-0,0,1,1,2,0,0,0,0,0,-16
J. KoncharJ. KoncharSG,20,0-2,0-2,0-0,1,0,1,0,0,0,0,2,0,-14
D. MeltonD. MeltonSG,11,0-4,0-1,2-2,1,1,2,1,0,0,0,2,2,-12
D. MathiasD. MathiasG,5,0-1,0-1,0-0,0,0,0,1,1,0,0,0,0,-3
J. CulverJ. CulverG,5,1-4,0-1,2-4,1,0,1,0,1,0,2,0,4,-3
