HOU,SAC,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,31,7-13,1-4,2-3,5,5,10,8,2,1,1,5,17,-6
C. WoodC. WoodC,26,8-15,4-7,6-6,0,8,8,0,2,1,2,5,26,+5
E. GordonE. GordonSG,29,6-9,4-7,0-0,0,3,3,1,0,0,0,1,16,-1
K. Porter Jr.K. Porter Jr.SG,31,7-16,1-7,1-1,2,5,7,8,2,0,2,1,16,-11
J. GreenJ. GreenSG,32,5-18,1-6,0-0,1,1,2,4,0,0,0,1,11,-15
K. Martin Jr.K. Martin Jr.F,18,1-8,0-3,0-0,1,5,6,0,0,0,2,0,2,-12
D. TheisD. TheisC,6,0-2,0-1,0-0,1,1,2,0,0,1,1,2,0,-1
A. SengunA. SengunC,14,4-6,0-2,1-2,2,2,4,2,0,1,2,2,9,-10
D.J. AugustinD.J. AugustinPG,12,3-4,2-2,3-4,0,2,2,0,0,0,3,0,11,-2
G. MathewsG. MathewsSG,22,0-4,0-3,0-0,0,4,4,0,0,0,0,2,0,-5
J. ChristopherJ. ChristopherSG,18,3-6,0-1,0-0,1,1,2,2,1,0,3,0,6,-2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. MetuC. MetuPF,13,3-4,1-2,0-0,0,2,2,0,1,0,2,3,7,+7
M. Bagley IIIM. Bagley IIIPF,33,12-20,0-2,2-2,4,9,13,1,0,2,1,1,26,+8
H. BarnesH. BarnesSF,38,5-9,2-5,4-4,0,9,9,6,0,0,3,4,16,+6
D. FoxD. FoxPG,34,11-18,2-4,3-6,0,6,6,8,2,0,4,2,27,+10
T. HaliburtonT. HaliburtonPG,31,3-8,1-6,2-2,1,5,6,12,0,0,1,2,9,-3
A. LenA. LenC,12,1-2,0-0,0-2,4,0,4,2,2,2,2,3,2,+1
N. QuetaN. QuetaC,5,1-3,0-0,0-0,2,1,3,0,0,0,0,2,2,-2
D. MitchellD. MitchellPG,24,2-11,0-4,0-0,1,3,4,2,0,2,0,2,4,+15
B. HieldB. HieldSG,32,5-13,4-10,5-6,1,5,6,1,1,0,0,2,19,+12
T. DavisT. DavisSG,18,5-8,3-4,1-2,0,0,0,1,2,1,1,2,14,+6
