CHI,BOS,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. McKinnieA. McKinnieF,27,2-6,0-1,0-2,1,2,3,1,0,0,0,4,4,-8
D. DeRozanD. DeRozanSF,37,7-20,0-0,9-9,1,7,8,7,0,1,2,1,23,+11
N. VucevicN. VucevicC,35,12-20,2-7,1-1,1,5,6,6,2,1,1,1,27,-10
C. WhiteC. WhitePG,39,7-16,5-10,0-0,0,3,3,5,0,1,0,4,19,-5
A. DosunmuA. DosunmuSG,40,9-10,3-3,0-0,1,3,4,10,0,0,1,2,21,-6
M. HillM. HillF,18,1-5,1-3,2-3,0,1,1,1,0,0,0,2,5,-3
T. Brown Jr.T. Brown Jr.SF,13,1-2,0-1,0-0,2,1,3,1,1,0,2,2,2,-2
T. BradleyT. BradleyC,13,3-3,0-0,0-0,0,2,2,0,0,0,0,1,6,+8
M. ThomasM. ThomasSG,17,2-5,1-4,0-0,1,1,2,0,0,0,0,2,5,+5
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,40,8-24,1-5,6-6,4,8,12,4,0,2,4,2,23,+11
A. HorfordA. HorfordC,30,7-11,1-3,0-0,4,4,8,1,0,1,1,3,15,-1
R. Williams IIIR. Williams IIIC,35,5-8,0-0,4-4,4,9,13,6,0,2,3,2,14,+9
D. SchroderD. SchroderPG,36,6-9,1-1,3-4,1,5,6,8,1,0,1,1,16,+14
J. BrownJ. BrownSG,36,8-19,0-5,3-4,2,5,7,4,4,0,1,2,19,0
G. WilliamsG. WilliamsPF,14,1-2,1-2,0-0,0,1,1,1,0,0,0,1,3,-3
E. FreedomE. FreedomC,8,2-2,0-0,1-1,1,0,1,0,0,0,0,1,5,-2
P. PritchardP. PritchardPG,12,2-6,2-5,0-0,0,1,1,1,0,0,1,1,6,-12
J. RichardsonJ. RichardsonSG,29,5-9,3-5,0-0,1,0,1,2,1,1,0,2,13,-6
