LAC,SA,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,27,4-9,1-4,4-5,1,6,7,1,1,0,3,4,13,-3
M. Morris Sr.M. Morris Sr.SF,37,6-17,3-7,0-0,0,6,6,5,1,0,2,3,15,-7
I. ZubacI. ZubacC,21,3-5,0-0,0-0,5,4,9,2,1,0,0,2,6,-3
R. JacksonR. JacksonPG,25,3-14,1-6,0-1,0,2,2,4,1,0,1,0,7,-7
A. CoffeyA. CoffeySG,32,7-13,4-8,2-2,2,3,5,1,1,1,0,1,20,-9
S. IbakaS. IbakaC,18,4-11,2-3,0-0,7,3,10,0,0,2,1,1,10,+5
I. HartensteinI. HartensteinC,6,3-3,0-0,0-0,0,0,0,0,0,0,0,0,6,-5
E. BledsoeE. BledsoeSG,26,3-11,1-5,0-0,1,4,5,5,2,1,4,4,7,-4
T. MannT. MannSG,31,3-8,0-3,0-0,2,2,4,3,0,0,2,3,6,0
B. Boston Jr.B. Boston Jr.SG,17,2-9,0-2,0-0,3,3,6,3,1,0,1,3,4,-2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,23,1-5,0-3,2-3,0,0,0,1,0,0,0,1,4,0
K. JohnsonK. JohnsonSF,33,4-8,3-6,6-6,1,5,6,1,0,0,3,3,17,-5
J. LandaleJ. LandaleC,26,3-9,1-3,3-4,8,3,11,2,1,0,1,2,10,+14
D. MurrayD. MurrayPG,36,8-17,0-3,2-2,1,6,7,9,3,0,3,0,18,+4
D. VassellD. VassellSG,31,3-11,2-7,2-2,1,10,11,1,1,1,1,2,10,+9
D. EubanksD. EubanksPF,19,0-1,0-0,0-0,2,5,7,0,0,0,1,0,0,-11
K. Bates-DiopK. Bates-DiopSF,22,4-8,1-3,4-4,1,6,7,1,0,0,0,1,13,+15
D. WhiteD. WhitePG,25,7-11,3-5,2-4,1,3,4,4,1,3,3,1,19,+14
L. Walker IVL. Walker IVSG,20,4-11,1-5,1-2,0,1,1,0,0,1,1,2,10,-11
J. PrimoJ. PrimoSG,6,0-2,0-2,0-0,0,0,0,0,0,0,1,0,0,+6
