ORL,DAL,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
C. OkekeC. OkekePF,25,2-8,2-6,0-0,0,6,6,0,3,0,0,2,6,-14
F. WagnerF. WagnerSF,27,2-6,0-1,2-4,0,2,2,3,0,1,3,2,6,-13
R. LopezR. LopezC,17,8-9,0-0,0-0,1,0,1,1,0,0,2,2,16,-9
C. AnthonyC. AnthonyPG,26,4-8,2-4,2-2,0,4,4,3,0,0,1,2,12,-15
G. HarrisG. HarrisSG,25,3-8,1-3,0-0,0,1,1,1,0,0,0,3,7,-10
A. SchofieldA. SchofieldSF,6,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
I. BrazdeikisI. BrazdeikisSF,6,0-3,0-1,0-0,0,2,2,0,0,0,0,0,0,+3
M. WagnerM. WagnerC,20,5-6,2-3,4-6,1,3,4,2,2,0,2,2,16,0
M. BambaM. BambaC,17,3-9,0-4,0-0,2,4,6,2,0,2,2,5,6,-9
R.J. HamptonR.J. HamptonPG,24,3-8,0-2,0-0,1,3,4,2,2,0,2,3,6,-6
T. RossT. RossSG,23,0-1,0-0,1-1,0,3,3,0,0,0,0,0,1,-9
J. SuggsJ. SuggsSG,24,7-11,0-2,2-3,0,3,3,2,0,0,3,5,16,-1
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,23,1-6,0-3,0-0,2,2,4,1,1,1,2,0,2,+9
M. KleberM. KleberPF,19,1-3,1-3,0-0,0,2,2,2,0,1,0,0,3,+13
K. PorzingisK. PorzingisC,28,4-8,2-3,9-12,2,5,7,0,1,1,1,3,19,+14
J. BrunsonJ. BrunsonPG,28,8-11,1-1,2-2,0,5,5,3,2,0,0,1,19,+10
L. DoncicL. DoncicPG,31,7-19,1-6,8-9,1,8,9,3,0,0,1,3,23,+20
T. Hardaway Jr.T. Hardaway Jr.SF,23,4-13,3-9,6-7,0,2,2,0,0,0,2,2,17,+6
R. BullockR. BullockSF,19,1-2,1-2,1-2,1,1,2,3,0,0,0,0,4,+13
S. BrownS. BrownSF,14,1-4,1-2,0-0,1,3,4,0,0,0,0,1,3,-7
M. ChrissM. ChrissSF,6,0-2,0-1,2-2,0,1,1,0,0,0,0,0,2,-3
D. PowellD. PowellC,13,1-1,0-0,4-4,2,3,5,1,0,0,0,3,6,+2
T. BurkeT. BurkePG,4,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-1
F. NtilikinaF. NtilikinaPG,6,1-2,1-1,0-0,0,2,2,1,1,0,1,0,3,-3
J. GreenJ. GreenSG,25,3-6,1-3,0-0,3,1,4,2,1,0,2,4,7,+7
