NO,BOS,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,35,6-19,0-4,3-3,2,8,10,6,1,0,1,2,15,-7
H. JonesH. JonesSF,34,5-8,2-4,4-6,0,1,1,0,2,1,1,4,16,+7
J. ValanciunasJ. ValanciunasC,33,9-17,2-6,2-2,2,12,14,4,0,0,3,4,22,-4
D. GrahamD. GrahamPG,33,4-14,3-8,0-0,2,1,3,5,2,1,3,1,11,-15
J. HartJ. HartSG,39,6-10,0-2,1-3,1,8,9,4,1,0,2,2,13,-20
G. TempleG. TempleSF,18,0-2,0-1,0-0,0,0,0,0,1,0,0,2,0,-13
J. HayesJ. HayesC,15,1-2,0-0,0-2,0,2,2,0,1,2,0,0,2,-8
J. AlvaradoJ. AlvaradoPG,15,2-7,0-2,0-0,1,0,1,2,2,0,1,0,4,+3
N. Alexander-WalkerN. Alexander-WalkerSG,18,3-8,2-3,1-2,0,1,1,2,0,0,0,0,9,-3
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,25,4-7,2-5,0-0,0,2,2,0,0,2,1,2,10,-1
J. TatumJ. TatumSF,38,9-18,0-4,9-11,1,7,8,3,1,0,2,1,27,+12
A. HorfordA. HorfordC,25,5-9,2-5,0-0,1,6,7,4,1,0,0,2,12,+6
D. SchroderD. SchroderPG,41,9-16,3-5,2-2,1,4,5,9,2,0,2,3,23,+21
J. BrownJ. BrownSG,35,8-17,3-7,4-4,0,8,8,2,0,0,2,3,23,+4
A. NesmithA. NesmithSF,19,2-4,0-2,1-1,0,6,6,0,0,0,2,3,5,+16
E. FreedomE. FreedomC,23,0-1,0-0,2-2,1,4,5,1,0,2,1,3,2,+6
P. PritchardP. PritchardPG,11,0-2,0-2,0-0,0,1,1,0,0,0,0,0,0,-12
J. RichardsonJ. RichardsonSG,19,1-4,0-1,0-0,1,4,5,3,2,0,4,1,2,+9
R. LangfordR. LangfordSG,5,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,-1
