PHI,WSH,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,25,3-11,1-2,0-0,1,0,1,1,0,0,1,6,7,-13
J. EmbiidJ. EmbiidC,29,10-20,3-4,9-10,2,6,8,1,0,0,4,4,32,-15
T. MaxeyT. MaxeyPG,33,5-10,0-1,8-9,0,4,4,3,1,0,0,1,18,-28
S. CurryS. CurrySG,32,4-9,0-2,0-0,0,2,2,5,1,2,2,1,8,-18
F. KorkmazF. KorkmazSG,28,3-10,0-5,0-0,0,5,5,5,2,0,1,3,6,-9
G. NiangG. NiangSF,24,2-4,2-4,1-1,1,3,4,2,0,0,0,3,7,-11
P. ReedP. ReedSF,4,0-1,0-0,0-2,0,1,1,0,0,0,0,0,0,0
A. DrummondA. DrummondC,15,1-2,0-0,0-0,1,6,7,1,3,0,2,5,2,-6
C. BasseyC. BasseyC,4,2-2,0-0,0-0,1,0,1,0,0,0,0,0,4,+2
I. JoeI. JoeSG,18,3-8,1-6,1-1,0,0,0,0,2,0,0,2,8,-2
M. PowellM. PowellG,4,0-2,0-1,0-0,0,0,0,1,0,0,0,0,0,+2
C. Brown Jr.C. Brown Jr.G,23,2-7,0-1,2-2,4,5,9,0,0,1,2,1,6,+3
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,29,6-13,1-3,2-4,1,15,16,4,1,3,1,1,15,+19
D. GaffordD. GaffordC,8,2-2,0-0,1-2,0,0,0,0,0,1,1,4,5,+9
S. DinwiddieS. DinwiddiePG,27,1-5,1-5,4-5,0,3,3,7,1,0,2,1,7,+8
B. BealB. BealSG,33,5-12,1-3,2-3,1,4,5,6,0,1,2,0,13,+20
K. Caldwell-PopeK. Caldwell-PopeSG,29,6-15,2-6,0-0,0,3,3,1,2,0,0,1,14,+19
A. GillA. GillPF,3,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-2
R. HachimuraR. HachimuraPF,16,3-6,1-2,4-4,0,5,5,0,1,0,1,1,11,+2
C. KispertC. KispertSF,30,3-8,2-4,3-3,1,1,2,2,1,0,1,2,11,+10
D. AvdijaD. AvdijaSF,3,1-1,0-0,0-0,0,0,0,0,1,0,0,0,2,-2
M. HarrellM. HarrellC,21,6-9,0-2,6-7,3,4,7,1,0,0,1,4,18,+9
T. BryantT. BryantC,16,6-11,1-4,2-4,3,2,5,1,0,1,0,2,15,+3
R. NetoR. NetoPG,23,3-5,0-1,0-0,0,2,2,3,0,0,1,1,6,+2
A. HolidayA. HolidayPG,3,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0,-2
