MIL,ATL,2
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,37,8-20,1-3,10-14,1,5,6,6,1,1,5,4,27,-17
K. MiddletonK. MiddletonSF,35,11-22,4-9,8-8,0,7,7,4,2,2,8,5,34,-3
B. PortisB. PortisC,32,6-12,1-4,0-0,4,9,13,0,1,1,0,3,13,+8
G. HillG. HillPG,31,2-4,1-3,0-0,1,2,3,2,0,0,0,3,5,+3
G. AllenG. AllenSG,29,3-6,1-2,2-2,0,2,2,4,1,0,0,2,9,+7
J. NworaJ. NworaSF,6,0-2,0-2,0-0,0,1,1,0,0,0,0,1,0,-2
W. MatthewsW. MatthewsSG,21,1-6,1-3,0-0,1,1,2,0,1,0,0,6,3,+2
P. ConnaughtonP. ConnaughtonSG,27,5-6,4-5,0-0,0,6,6,2,1,0,0,3,14,-21
D. DiVincenzoD. DiVincenzoSG,22,3-10,3-7,0-0,2,0,2,3,1,0,0,1,9,-12
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,31,5-15,3-9,3-4,2,10,12,2,0,3,1,1,16,-10
O. OkongwuO. OkongwuPF,36,6-9,0-0,0-0,3,4,7,3,1,3,1,5,12,+11
D. HunterD. HunterSF,35,6-17,2-6,6-6,2,7,9,2,0,1,3,3,20,0
T. YoungT. YoungPG,40,7-17,2-6,14-14,0,4,4,11,1,0,3,1,30,+16
K. HuerterK. HuerterSG,37,5-15,3-7,0-0,2,6,8,3,2,1,1,3,13,+19
D. GallinariD. GallinariPF,30,4-5,1-2,7-8,0,3,3,3,0,0,2,2,16,+13
L. WilliamsL. WilliamsSG,14,3-5,2-3,0-0,1,0,1,1,1,0,0,3,8,-3
D. WrightD. WrightSG,15,2-2,2-2,0-0,0,2,2,0,2,0,1,0,6,-6
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,4,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0,-5
