PHX,SA,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,26,3-8,2-6,0-0,0,5,5,1,1,0,0,5,8,-6
M. BridgesM. BridgesSF,34,2-6,0-1,3-4,2,3,5,2,1,2,0,1,7,+5
J. McGeeJ. McGeeC,23,3-5,0-0,0-0,1,7,8,0,0,1,0,2,6,-2
C. PaulC. PaulPG,32,7-12,1-4,0-0,0,2,2,12,2,2,0,1,15,-3
D. BookerD. BookerSG,35,18-33,5-13,7-8,0,5,5,6,3,0,0,2,48,+3
J. SmithJ. SmithPF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
I. WainrightI. WainrightF,2,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-1
C. JohnsonC. JohnsonSF,20,3-5,0-2,2-2,0,0,0,1,1,0,0,2,8,+21
B. BiyomboB. BiyomboC,25,8-10,0-0,1-4,8,6,14,1,1,0,1,3,17,+16
E. PaytonE. PaytonPG,2,0-1,0-0,0-0,0,1,1,1,0,0,0,0,0,-1
C. PayneC. PaynePG,23,5-12,1-3,0-0,1,1,2,4,0,0,1,0,11,+33
L. ShametL. ShametSG,15,0-3,0-3,1-2,0,3,3,1,0,0,2,1,1,+6
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,26,6-10,2-5,1-2,0,2,2,0,0,0,1,3,15,0
K. JohnsonK. JohnsonSF,33,6-14,2-6,0-0,1,6,7,2,0,0,0,1,14,+3
J. PoeltlJ. PoeltlC,30,9-12,0-0,5-7,6,8,14,4,0,2,3,0,23,+3
D. WhiteD. WhitePG,30,5-12,0-2,4-4,0,0,0,7,0,0,1,3,14,-2
D. MurrayD. MurrayPG,32,7-16,2-5,2-2,0,8,8,4,0,0,2,1,18,-2
D. EubanksD. EubanksPF,3,0-0,0-0,1-2,0,2,2,0,0,0,0,0,1,+1
K. Bates-DiopK. Bates-DiopSF,19,1-6,0-2,1-2,4,2,6,0,0,0,1,1,3,-27
J. WieskampJ. WieskampSF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
J. LandaleJ. LandaleC,18,2-4,1-2,0-0,2,2,4,4,0,0,3,3,5,-17
L. Walker IVL. Walker IVSG,19,1-6,0-1,2-3,0,0,0,0,2,0,1,1,4,-15
D. VassellD. VassellSG,28,4-12,2-7,0-0,0,4,4,0,1,0,0,3,10,-15
